Game,Flavor Text
black,This Pokémon came to the defense of Pokémon that had lost their homes in a war among humans.
white,Its charge is strong enough to break through a giant castle wall in one blow. This Pokémon is spoken of in legends.
black-2,"Spoken of in legend, this Pokémon used its phenomenal power to destroy a castle in its effort to protect Pokémon."
white-2,"Spoken of in legend, this Pokémon used its phenomenal power to destroy a castle in its effort to protect Pokémon."
x,Its charge is strong enough to break through a giant castle wall in one blow. This Pokémon is spoken of in legends.
y,"Spoken of in legend, this Pokémon used its phenomenal power to destroy a castle in its effort to protect Pokémon."
omega-ruby,Its charge is strong enough to break through a giant castle wall in one blow. This Pokémon is spoken of in legends.
alpha-sapphire,"Spoken of in legend, this Pokémon used its phenomenal power to destroy a castle in its effort to protect Pokémon."
sword,It has phenomenal power. It will mercilessly crush anyone or anything that bullies small Pokémon.
shield,"In Unovan legend, Terrakion battled against humans in an effort to protect other Pokémon."
