Game,Flavor Text
ruby,"DUSTOX is instinctively drawn to light. Swarms of this POKéMON are attracted by the bright lights of cities, where they wreak havoc by stripping the leaves off roadside trees for food."
sapphire,"When DUSTOX flaps its wings, a fine dust is scattered all over. This dust is actually a powerful poison that will even make a pro wrestler sick. This POKéMON searches for food using its antennae like radar."
emerald,It is a nocturnal POKéMON that flies from fields and mountains to the attraction of streetlights at night. It looses highly toxic powder from its wings.
firered,It scatters horribly toxic dust when it senses danger. They tend to gather in the glow of streetlamps at night.
leafgreen,It scatters horribly toxic dust when it senses danger. They tend to gather in the glow of streetlamps at night.
diamond,"A nocturnal Pokémon. Drawn by streetlights, they messily eat the leaves of trees lining boulevards."
pearl,It violently flutters its wings to scatter toxic dust when attacked. It becomes active after sunset.
platinum,"Toxic powder is scattered with each flap. At night, it is known to strip leaves off trees lining boulevards."
heartgold,It scatters its fine dust all over when it is attacked. It is a nocturnal Pokémon.
soulsilver,It scatters its fine dust all over when it is attacked. It is a nocturnal Pokémon.
black,"Toxic powder is scattered with each flap. At night, it is known to strip leaves off trees lining boulevards."
white,"Toxic powder is scattered with each flap. At night, it is known to strip leaves off trees lining boulevards."
black-2,"Toxic powder is scattered with each flap. At night, it is known to strip leaves off trees lining boulevards."
white-2,"Toxic powder is scattered with each flap. At night, it is known to strip leaves off trees lining boulevards."
x,"A nocturnal Pokémon. Drawn by streetlights, they messily eat the leaves of trees lining boulevards."
y,It violently flutters its wings to scatter toxic dust when attacked. It becomes active after sunset.
omega-ruby,"Dustox is instinctively drawn to light. Swarms of this Pokémon are attracted by the bright lights of cities, where they wreak havoc by stripping the leaves off roadside trees for food."
alpha-sapphire,"When Dustox flaps its wings, a fine dust is scattered all over. This dust is actually a powerful poison that will even make a pro wrestler sick. This Pokémon searches for food using its antennae like radar."
legends-arceus,Tends to be drawn to bonfires on dark nights. Difficult to chase away from settlements because of the way it scatters highly toxic scales.
