Game,Flavor Text
gold,"When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up."
silver,"It is hard for it to support its own weight out of water, so it gets down on all fours. But it moves fast."
crystal,"Although it has a massive body, its powerful hind legs enable it to move quickly, even on the ground."
ruby,"FERALIGATR intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed."
sapphire,"FERALIGATR intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed."
emerald,"It opens its huge mouth to intimidate enemies. In battle, it runs using its thick and powerful hind legs to charge the foe with incredible speed."
firered,"It is hard for it to support its own weight out of water, so it gets down on all fours. But it moves fast."
leafgreen,"When it bites with its massive and powerful jaws, it shakes its head and savagely tears up its victim."
diamond,"It usually moves slowly, but it goes at blinding speed when it attacks and bites prey."
pearl,"It usually moves slowly, but it goes at blinding speed when it attacks and bites prey."
platinum,"It usually moves slowly, but it goes at blinding speed when it attacks and bites prey."
heartgold,"When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up."
soulsilver,"It is hard for it to support its weight out of water, so it sometimes gets down on all fours. But it moves fast."
black,"It usually moves slowly, but it goes at blinding speed when it attacks and bites prey."
white,"It usually moves slowly, but it goes at blinding speed when it attacks and bites prey."
black-2,"It usually moves slowly, but it goes at blinding speed when it attacks and bites prey."
white-2,"It usually moves slowly, but it goes at blinding speed when it attacks and bites prey."
x,"It usually moves slowly, but it goes at blinding speed when it attacks and bites prey."
y,"When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up."
omega-ruby,"Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed."
alpha-sapphire,"Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed."
