Game,Flavor Text
red,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."
blue,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."
yellow,"This POKéMON flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons."
gold,Its well-developed chest muscles make it strong enough to whip up a gusty windstorm with just a few flaps.
silver,It spreads its beautiful wings wide to frighten its enemies. It can fly at Mach 2 speed.
crystal,"Its outstanding vision allows it to spot splashing MAGIKARP, even while flying at 3300 feet."
ruby,"This POKéMON has a dazzling plumage of beautifully glossy feathers. Many TRAINERS are captivated by the striking beauty of the feathers on its head, compelling them to choose PIDGEOT as their POKéMON."
sapphire,"This POKéMON has a dazzling plumage of beautifully glossy feathers. Many TRAINERS are captivated by the striking beauty of the feathers on its head, compelling them to choose PIDGEOT as their POKéMON."
emerald,"This POKéMON has gorgeous, glossy feathers. Many TRAINERS are so captivated by the beautiful feathers on its head that they choose PIDGEOT as their POKéMON."
firered,It spreads its gorgeous wings widely to intimidate enemies. It races through the skies at Mach-2 speed.
leafgreen,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."
diamond,"By flapping its wings with all its might, PIDGEOT can make a gust of wind capable of bending tall trees."
pearl,"By flapping its wings with all its might, PIDGEOT can make a gust of wind capable of bending tall trees."
platinum,"By flapping its wings with all its might, PIDGEOT can make a gust of wind capable of bending tall trees."
heartgold,Its well-developed chest muscles make it strong enough to whip up a gusty windstorm with just a few flaps.
soulsilver,It spreads its beautiful wings wide to frighten its enemies. It can fly at Mach 2 speed.
black,"By flapping its wings with all its might, Pidgeot can make a gust of wind capable of bending tall trees."
white,"By flapping its wings with all its might, Pidgeot can make a gust of wind capable of bending tall trees."
black-2,"By flapping its wings with all its might, Pidgeot can make a gust of wind capable of bending tall trees."
white-2,"By flapping its wings with all its might, Pidgeot can make a gust of wind capable of bending tall trees."
x,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp."
y,It spreads its gorgeous wings widely to intimidate enemies. It races through the skies at Mach-2 speed.
omega-ruby,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon."
alpha-sapphire,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon."
lets-go-pikachu,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons."
lets-go-eevee,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons."
