Game,Flavor Text
x,These key collectors threaten any attackers by fiercely jingling their keys at them.
y,"It never lets go of a key that it likes, so people give it the keys to vaults and safes as a way to prevent crime."
omega-ruby,These key collectors threaten any attackers by fiercely jingling their keys at them.
alpha-sapphire,"It never lets go of a key that it likes, so people give it the keys to vaults and safes as a way to prevent crime."
sun,This even-tempered Pokémon has a habit of collecting keys. It will sneak into people’s homes to steal their keys.
moon,"It inserts its horn into chinks in metal, absorbing metal ions. For some reason, it collects keys."
ultra-sun,"Although it’s unclear why it collects keys, giving it a key makes Klefki very happy. However, it apparently only likes master keys."
ultra-moon,"Long ago it lived in mines, but once the minerals that make up its diet became scarcer, Klefki began appearing in human settlements."
sword,"This Pokémon is constantly collecting keys. Entrust a Klefki with important keys, and the Pokémon will protect them no matter what."
shield,"Klefki sucks in metal ions with the horn topping its head. It seems this Pokémon loves keys so much that its head needed to look like one, too."
