Game,Flavor Text
red,Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.
blue,Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.
yellow,The center section is named the core. People think it is communicating when it glows in 7 colors.
gold,The center section of its body is called the core. It glows in a dif­ ferent color each time it is seen.
silver,"Regardless of the environment it lives in, its body grows to form a symmetrical geo­ metric shape."
crystal,It is said that it uses the seven- colored core of its body to send electric waves into outer space.
ruby,"STARMIE’s center section - the core - glows brightly in seven colors. Because of its luminous nature, this POKéMON has been given the nickname “the gem of the sea.”"
sapphire,STARMIE swims through water by spinning its star-shaped body as if it were a propeller on a ship. The core at the center of this POKéMON’s body glows in seven colors.
emerald,People in ancient times imagined that STARMIE were transformed from the reflections of stars that twinkled on gentle waves at night.
firered,"This POKéMON has a geometric body. Because of its body, the locals suspect that it is an alien creature."
leafgreen,Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.
diamond,"At the center of its body is a red core, which sends mysterious radio signals into the night sky."
pearl,"At the center of its body is a red core, which sends mysterious radio signals into the night sky."
platinum,"At the center of its body is a red core, which sends mysterious radio signals into the night sky."
heartgold,The middle section of its body is called the core. It glows in a different color each time it is seen.
soulsilver,"Regardless of the environment it lives in, its body grows to form a symmetrical geometric shape."
black,"At the center of its body is a red core, which sends mysterious radio signals into the night sky."
white,"At the center of its body is a red core, which sends mysterious radio signals into the night sky."
black-2,Its core shines in many colors and sends radio signals into space to communicate with something.
white-2,Its core shines in many colors and sends radio signals into space to communicate with something.
x,Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.
y,"At the center of its body is a red core, which sends mysterious radio signals into the night sky."
omega-ruby,"Starmie’s center section—the core—glows brightly in seven colors. Because of its luminous nature, this Pokémon has been given the nickname “the gem of the sea.”"
alpha-sapphire,Starmie swims through water by spinning its star-shaped body as if it were a propeller on a ship. The core at the center of this Pokémon’s body glows in seven colors.
sun,Its shining core is thought to receive and transmit enigmatic signals. It has been known to cause headaches in those who approach it.
moon,"Its unusual body shape, reminiscent of abstract art, led local people to spread rumors that this Pokémon may be an invader from outer space."
ultra-sun,Its sparkling core is called “the gem of the sea.” This core can be made into high-priced accessories that are traded in secret.
ultra-moon,It rotates its geometrically shaped body to swim through the water. It always seems to be sending out mysterious radio waves.
lets-go-pikachu,The center section is named the core. People think it is communicating when it glows in seven colors.
lets-go-eevee,The center section is named the core. People think it is communicating when it glows in seven colors.
sword,This Pokémon has an organ known as its core. The organ glows in seven colors when Starmie is unleashing its potent psychic powers.
shield,"Starmie swims by spinning its body at high speed. As this Pokémon cruises through the ocean, it absorbs tiny plankton."
