Game,Flavor Text
gold,A special fluid oozes from the tip of its tail. It paints the fluid everywhere to mark its territory.
silver,"Once it becomes an adult, it has a tendency to let its comrades plant footprints on its back."
crystal,The color of the mysterious fluid secreted from its tail is predeter­ mined for each SMEARGLE.
ruby,"SMEARGLE marks the boundaries of its territory using a body fluid that leaks out from the tip of its tail. Over 5,000 different marks left by this POKéMON have been found."
sapphire,"SMEARGLE marks the boundaries of its territory using a body fluid that leaks out from the tip of its tail. Over 5,000 different marks left by this POKéMON have been found."
emerald,"A SMEARGLE marks its territory using a fluid that leaks out from the tip of its tail. About 5,000 different marks left by this POKéMON have been found."
firered,"Once it becomes an adult, it has a tendency to let its comrades plant footprints on its back."
leafgreen,A special fluid oozes from the tip of its tail. It paints the fluid everywhere to mark its territory.
diamond,"It marks its territory by using its tail like a paintbrush. There are more than 5,000 different marks."
pearl,"It marks its territory by using its tail like a paintbrush. There are more than 5,000 different marks."
platinum,"It marks its territory by using its tail like a paintbrush. There are more than 5,000 different marks."
heartgold,A special fluid oozes from the tip of its tail. It paints the fluid everywhere to mark its territory.
soulsilver,"Once it becomes an adult, it has a tendency to let its comrades plant footprints on its back."
black,"It marks its territory by using its tail like a paintbrush. There are more than 5,000 different marks."
white,"It marks its territory by using its tail like a paintbrush. There are more than 5,000 different marks."
black-2,"It marks its territory by using its tail like a paintbrush. There are more than 5,000 different marks."
white-2,"It marks its territory by using its tail like a paintbrush. There are more than 5,000 different marks."
x,"It marks its territory by using its tail like a paintbrush. There are more than 5,000 different marks."
y,"Once it becomes an adult, it has a tendency to let its comrades plant footprints on its back."
omega-ruby,"Smeargle marks the boundaries of its territory using a body fluid that leaks out from the tip of its tail. Over 5,000 different marks left by this Pokémon have been found."
alpha-sapphire,"Smeargle marks the boundaries of its territory using a body fluid that leaks out from the tip of its tail. Over 5,000 different marks left by this Pokémon have been found."
sun,The unique creations produced by each Smeargle are painted using the fluid that oozes from its tail. This is how it marks its territory.
moon,"It draws symbols all over the place to mark its territory. In towns with many Smeargle, the walls are covered in graffiti."
ultra-sun,The fluid of Smeargle’s tail secretions changes in the intensity of its hue as the Pokémon’s emotions change.
ultra-moon,"It draws symbols with the fluid that oozes from the tip of its tail. Depending on the symbol, Smeargle fanatics will pay big money for them."
