Game,Flavor Text
red,"Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it."
blue,"Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it."
yellow,"Just loves to run. If it sees some­ thing faster than itself, it will give chase at top speed."
gold,"At full gallop, its four hooves barely touch the ground because it moves so incredi­ bly fast."
silver,"With incredible acceleration, it reaches its top speed of 150 mph after running just ten steps."
crystal,"It just loves to gallop. The faster it goes, the long­ er the swaying flames of its mane will become."
ruby,"RAPIDASH usually can be seen casually cantering in the fields and plains. However, when this POKéMON turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph."
sapphire,"RAPIDASH usually can be seen casually cantering in the fields and plains. However, when this POKéMON turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph."
emerald,"It usually canters casually in the fields and plains. But once a RAPIDASH turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph."
firered,It can gallop at a top speed of 150 miles per hour. It can race as fast as a bullet train while ablaze.
leafgreen,"Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it."
diamond,"It gallops at nearly 150 mph. With its mane blazing ferociously, it races as if it were an arrow."
pearl,"It has astounding acceleration. From a standstill, it can reach top speed within 10 steps."
platinum,"When at an all-out gallop, its blazing mane sparkles, enhancing its beautiful appearance."
heartgold,"At full gallop, its four hooves barely touch the ground because it moves so incredibly fast."
soulsilver,"With incredible acceleration, it reaches its top speed of 150 mph after running just 10 steps."
black,"When at an all-out gallop, its blazing mane sparkles, enhancing its beautiful appearance."
white,"When at an all-out gallop, its blazing mane sparkles, enhancing its beautiful appearance."
black-2,"When at an all-out gallop, its blazing mane sparkles, enhancing its beautiful appearance."
white-2,"When at an all-out gallop, its blazing mane sparkles, enhancing its beautiful appearance."
x,"Very competitive, this Pokémon will chase anything that moves fast in the hopes of racing it."
y,"It gallops at nearly 150 mph. With its mane blazing ferociously, it races as if it were an arrow."
omega-ruby,"Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph."
alpha-sapphire,"Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph."
lets-go-pikachu,"Just loves to run. If it sees something faster than itself, it will give chase at top speed."
lets-go-eevee,"Just loves to run. If it sees something faster than itself, it will give chase at top speed."
sword,"This Pokémon can be seen galloping through fields at speeds of up to 150 mph, its fiery mane fluttering in the wind."
shield,"The fastest runner becomes the leader, and it decides the herd’s pace and direction of travel."
legends-arceus,"Fiery mane aglow, Rapidash darts like an arrow across the land. This prodigiously swift creature can traverse the vast region of Hisui in a day and a half."
