Game,Flavor Text
gold,It flies so si­ lently through the dark on its four wings that it may not be noticed even when nearby.
silver,The development of wings on its legs enables it to fly fast but also makes it tough to stop and rest.
crystal,"As a result of its pursuit of faster, yet more silent flight, a new set of wings grew on its hind legs."
ruby,"If this POKéMON is flying by fluttering only a pair of wings on either the forelegs or hind legs, it’s proof that CROBAT has been flying a long distance. It switches the wings it uses if it is tired."
sapphire,CROBAT sneaks up on its intended prey using wings that barely make a sound. This POKéMON rests by hanging on a tree branch with its rear legs that serve as wings.
emerald,"Over the course of evolution, its hind legs turned into wings. By alternately resting its front and rear wings, it can fly all day without having to stop."
firered,The development of wings on its legs enables it to fly fast but also makes it tough to stop and rest.
leafgreen,It flies so silently through the dark on its four wings that it may not be noticed even when nearby.
diamond,Having four wings enables it to fly faster and more quietly. It turns active when the night comes.
pearl,A Pokémon that gained vastly enhanced flying performance by having its legs turn into wings.
platinum,"The transformation of its legs into wings made it better at flying, but more clumsy at walking."
heartgold,It flies so silently through the dark on its four wings that it may not be noticed even when nearby.
soulsilver,The development of wings on its legs enables it to fly fast but also makes it tough to stop and rest.
black,"The transformation of its legs into wings made it better at flying, but more clumsy at walking."
white,"The transformation of its legs into wings made it better at flying, but more clumsy at walking."
black-2,Having four wings allows it to fly more quickly and quietly so it can sneak up on prey without its noticing.
white-2,Having four wings allows it to fly more quickly and quietly so it can sneak up on prey without its noticing.
x,It flies so silently through the dark on its four wings that it may not be noticed even when nearby.
y,Having four wings allows it to fly more quickly and quietly so it can sneak up on prey without its noticing.
omega-ruby,"If this Pokémon is flying by fluttering only a pair of wings on either the forelegs or hind legs, it’s proof that Crobat has been flying a long distance. It switches the wings it uses if it is tired."
alpha-sapphire,Crobat sneaks up on its intended prey using wings that barely make a sound. This Pokémon rests by hanging on a tree branch with its rear legs that serve as wings.
sun,"Both its legs became wings, and as a result, it can’t move well on the ground. All it can do is crawl around."
moon,"Silent and swift in its four-winged flight, it bites down on its prey before they realize what’s happening. In a heartbeat, it drains their blood."
ultra-sun,"Its fangs are so sharp, if it bites you in the dark and sucks your blood, you won’t notice any pain or realize you’ve been bitten."
ultra-moon,"It feeds on the blood of living people and Pokémon. If it can’t drink any blood for even a short while, it becomes weak and unable to fly."
sword,"Both of its legs have turned into wings. Without a sound, Crobat flies swiftly toward its prey and sinks its fangs into the nape of its target’s neck."
shield,This Pokémon flaps its four wings skillfully. Crobat can fly through cramped caves without needing to slow down.
legends-arceus,Its hind limbs have become another set of wings. Crobat expertly maneuvers its four wings to dart in exquisite fashion through even the most confined caves without losing any speed.
