Game,Flavor Text
x,These friendly Pokémon send signals to one another with beautiful chirps and tail-feather movements.
y,"Despite the beauty of its lilting voice, it’s merciless to intruders that enter its territory."
omega-ruby,These friendly Pokémon send signals to one another with beautiful chirps and tail-feather movements.
alpha-sapphire,"Despite the beauty of its lilting voice, it’s merciless to intruders that enter its territory."
sun,"This amiable Pokémon is easy to train. But when battle is joined, it shows its ferocious side."
moon,"When it’s excited, its temperature can double, spiking hormone production in its body."
ultra-sun,"While it’s an amiable Pokémon, if you touch it unexpectedly, it will heat up its body in an instant, and you’ll be burned."
ultra-moon,Its body is always warm. Trainers who live in cold areas apparently sleep with it in their bed.
sword,Its melodious cries are actually warnings. Fletchling will mercilessly peck at anything that enters its territory.
shield,"When this Pokémon gets excited, its body temperature increases sharply. If you touch a Fletchling with bare hands, you might get burned."
