Game,Flavor Text
red,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
blue,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
yellow,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.
gold,Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.
silver,It attacks using a two-inch poison barb on its head. It can usually be found under the leaves it eats.
crystal,The barb on top of its head secretes a strong poison. It uses this toxic barb to protect itself.
ruby,WEEDLE has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).
sapphire,WEEDLE has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).
emerald,A WEEDLE has an extremely acute sense of smell. It distinguishes its favorite kinds of leaves from those it dislikes by sniffing with its big red proboscis (nose).
firered,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head."
leafgreen,"Often found in forests, eating leaves. It has a sharp stinger on its head that injects poison."
diamond,It eats its weight in leaves every day. It fends off attackers with the needle on its head.
pearl,It eats its weight in leaves every day. It fends off attackers with the needle on its head.
platinum,It eats its weight in leaves every day. It fends off attackers with the needle on its head.
heartgold,Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.
soulsilver,It attacks using a two-inch poison barb on its head. It can usually be found under the leaves it eats.
black,It eats its weight in leaves every day. It fends off attackers with the needle on its head.
white,It eats its weight in leaves every day. It fends off attackers with the needle on its head.
black-2,It eats its weight in leaves every day. It fends off attackers with the needle on its head.
white-2,It eats its weight in leaves every day. It fends off attackers with the needle on its head.
x,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head."
y,Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.
omega-ruby,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).
alpha-sapphire,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).
lets-go-pikachu,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.
lets-go-eevee,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.
