Game,Flavor Text
red,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety."
blue,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety."
yellow,"Sleeps 18 hours a day. If it senses danger, it will teleport itself to safety even as it sleeps."
gold,It senses impend­ ing attacks and TELEPORTS away to safety before the actual attacks can strike.
silver,"If it decides to TELEPORT randomly, it creates the illusion that it has created copies of itself."
crystal,"It hypnotizes itself so that it can teleport away when it senses danger, even if it is asleep."
ruby,"ABRA sleeps for eighteen hours a day. However, it can sense the presence of foes even while it is sleeping. In such a situation, this POKéMON immediately teleports to safety."
sapphire,"ABRA needs to sleep for eighteen hours a day. If it doesn’t, this POKéMON loses its ability to use telekinetic powers. If it is attacked, ABRA escapes using TELEPORT while it is still sleeping."
emerald,A POKéMON that sleeps 18 hours a day. Observation revealed that it uses TELEPORT to change its location once every hour.
firered,It sleeps for 18 hours a day. It uses a variety of extrasensory powers even while asleep.
leafgreen,"Using its ability to read minds, it will sense impending danger and TELEPORT to safety."
diamond,"It sleeps for 18 hours a day. Even when awake, it teleports itself while remaining seated."
pearl,"Even while asleep, it maintains a telepathic radar. It teleports when it is threatened."
platinum,Using its psychic power is such a strain on its brain that it needs to sleep for 18 hours a day.
heartgold,It senses impending attacks and teleports away to safety before the actual attacks can strike.
soulsilver,"If it decides to teleport randomly, it evokes the illusion that it has created copies of itself."
black,Using its psychic power is such a strain on its brain that it needs to sleep for 18 hours a day.
white,Using its psychic power is such a strain on its brain that it needs to sleep for 18 hours a day.
black-2,Using its psychic power is such a strain on its brain that it needs to sleep for 18 hours a day.
white-2,Using its psychic power is such a strain on its brain that it needs to sleep for 18 hours a day.
x,It sleeps for 18 hours a day. It uses a variety of extrasensory powers even while asleep.
y,It senses impending attacks and teleports away to safety before the actual attacks can strike.
omega-ruby,"Abra sleeps for eighteen hours a day. However, it can sense the presence of foes even while it is sleeping. In such a situation, this Pokémon immediately teleports to safety."
alpha-sapphire,"Abra needs to sleep for eighteen hours a day. If it doesn’t, this Pokémon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping."
sun,"It sleeps 18 hours a day. Even while sleeping, it will teleport itself to treetops and pick and eat berries there."
moon,"It can teleport itself to safety while it’s asleep, but when it wakes, it doesn’t know where it is, so it panics."
ultra-sun,"It uses various psychic powers even while it’s sleeping, so you can’t tell whether or not it’s awake."
ultra-moon,It can read others’ minds and will teleport away when danger approaches. You must clear your mind if you want to catch it.
lets-go-pikachu,"Sleeps 18 hours a day. If it senses danger, it will teleport itself to safety even as it sleeps."
lets-go-eevee,"Sleeps 18 hours a day. If it senses danger, it will teleport itself to safety even as it sleeps."
sword,This Pokémon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokémon wields.
shield,"Abra can teleport in its sleep. Apparently the more deeply Abra sleeps, the farther its teleportations go."
legends-arceus,"Spends 18 hours of the day sleeping. Even while asleep, Abra can control its psychic powers—should danger approach, the Pokémon will simply teleport away."
