Game,Flavor Text
black,"It lures people in with its Poké Ball pattern, then releases poison spores. Why it resembles a Poké Ball is unknown."
white,"For some reason, this Pokémon resembles a Poké Ball. They release poison spores to repel those who try to catch them."
black-2,It lures Pokémon with its pattern that looks just like a Poké Ball then releases poison spores.
white-2,It lures Pokémon with its pattern that looks just like a Poké Ball then releases poison spores.
x,"It lures people in with its Poké Ball pattern, then releases poison spores. Why it resembles a Poké Ball is unknown."
y,"It lures Pokémon with its pattern that looks just like a Poké Ball, then releases poison spores."
omega-ruby,"It lures people in with its Poké Ball pattern, then releases poison spores. Why it resembles a Poké Ball is unknown."
alpha-sapphire,"It lures Pokémon with its pattern that looks just like a Poké Ball, then releases poison spores."
sword,No one knows what the Poké Ball–like pattern on Foongus means or why Foongus has it.
shield,"The spores released from this Pokémon’s hands are highly poisonous, but when thoroughly dried, the spores can be used as stomach medicine."
