Game,Flavor Text
diamond,It has a flotation sac that is like an inflatable collar. It floats on water with its head out.
pearl,"It swims by rotating its two tails like a screw. When it dives, its flotation sac collapses."
platinum,It spins its two tails like a screw to propel itself through water. The tails also slice clinging seaweed.
heartgold,"It inflates its flotation sac, keeping its face above water in order to watch for prey movement."
soulsilver,"It inflates its flotation sac, keeping its face above water in order to watch for prey movement."
black,It spins its two tails like a screw to propel itself through water. The tails also slice clinging seaweed.
white,It spins its two tails like a screw to propel itself through water. The tails also slice clinging seaweed.
black-2,It inflates the flotation sac around its neck and pokes its head out of the water to see what is going on.
white-2,It inflates the flotation sac around its neck and pokes its head out of the water to see what is going on.
x,"It swims by rotating its two tails like a screw. When it dives, its flotation sac collapses."
y,It inflates the flotation sac around its neck and pokes its head out of the water to see what is going on.
omega-ruby,"It swims by rotating its two tails like a screw. When it dives, its flotation sac collapses."
alpha-sapphire,It inflates the flotation sac around its neck and pokes its head out of the water to see what is going on.
legends-arceus,It moves freely in the water by spinning its forked tail for propulsion. The resemblance to the screw of a steamboat is coincidental.
