Game,Flavor Text
ruby,"SLAKING spends all day lying down and lolling about. It eats grass growing within its reach. If it eats all the grass it can reach, this POKéMON reluctantly moves to another spot."
sapphire,"Wherever SLAKING live, rings of over a yard in diameter appear in grassy fields. They are made by the POKéMON as it eats all the grass within reach while lying prone on the ground."
emerald,Hordes of SLAKING gather around trees when fruits come into season. They wait around patiently for ripened fruits to fall out of the trees.
firered,"It is the world’s most slothful POKéMON. However, it can exert horrifying power by releasing pent-up energy all at once."
leafgreen,"It is the world’s most slothful POKéMON. However, it can exert horrifying power by releasing pent-up energy all at once."
diamond,"The world’s laziest Pokémon. When it is lounging, it is actually saving energy for striking back."
pearl,"The world’s laziest Pokémon. When it is lounging, it is actually saving energy for striking back."
platinum,"The world’s laziest Pokémon. When it is lounging, it is actually saving energy for striking back."
heartgold,The world’s laziest Pokémon. It moves to another spot when there’s no food left within its reach.
soulsilver,The world’s laziest Pokémon. It moves to another spot when there’s no food left within its reach.
black,"The world’s laziest Pokémon. When it is lounging, it is actually saving energy for striking back."
white,"The world’s laziest Pokémon. When it is lounging, it is actually saving energy for striking back."
black-2,This Pokémon lives lying on its side. It only rolls over and moves when there is no more grass to eat.
white-2,This Pokémon lives lying on its side. It only rolls over and moves when there is no more grass to eat.
x,The world’s laziest Pokémon. It moves to another spot when there’s no food left within its reach.
y,"It is the world’s most slothful Pokémon. However, it can exert horrifying power by releasing pent-up energy all at once."
omega-ruby,"Slaking spends all day lying down and lolling about. It eats grass growing within its reach. If it eats all the grass it can reach, this Pokémon reluctantly moves to another spot."
alpha-sapphire,"Wherever Slaking live, rings of over a yard in diameter appear in grassy fields. They are made by the Pokémon as it eats all the grass within reach while lying prone on the ground."
