Game,Flavor Text
red,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.
blue,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.
yellow,"It can go for days without eating a single morsel. In the bulb on its back, it stores energy."
gold,The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.
silver,"It carries a seed on its back right from birth. As it grows older, the seed also grows larger."
crystal,"While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow."
ruby,"BULBASAUR can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger."
sapphire,"BULBASAUR can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger."
emerald,"BULBASAUR can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger."
firered,There is a plant seed on its back right from the day this POKéMON is born. The seed slowly grows larger.
leafgreen,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.
diamond,"For some time after its birth, it grows by gaining nourishment from the seed on its back."
pearl,"For some time after its birth, it grows by gaining nourishment from the seed on its back."
platinum,"For some time after its birth, it grows by gaining nourishment from the seed on its back."
heartgold,The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.
soulsilver,"It carries a seed on its back right from birth. As it grows older, the seed also grows larger."
black,"For some time after its birth, it grows by gaining nourishment from the seed on its back."
white,"For some time after its birth, it grows by gaining nourishment from the seed on its back."
black-2,"For some time after its birth, it grows by gaining nourishment from the seed on its back."
white-2,"For some time after its birth, it grows by gaining nourishment from the seed on its back."
x,A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.
y,"For some time after its birth, it grows by gaining nourishment from the seed on its back."
omega-ruby,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger."
alpha-sapphire,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger."
lets-go-pikachu,"It can go for days without eating a single morsel. In the bulb on its back, it stores energy."
lets-go-eevee,"It can go for days without eating a single morsel. In the bulb on its back, it stores energy."
sword,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.
shield,"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow."
