Game,Flavor Text
ruby,CASTFORM’s appearance changes with the weather. This POKéMON gained the ability to use the vast power of nature to protect its tiny body.
sapphire,"CASTFORM borrows the power of nature to transform itself into the guises of the sun, rain clouds, and snow clouds. This POKéMON’s feelings change with the weather."
emerald,It alters its form depending on the weather. Changes in the climate such as the temperature and humidity appear to affect its cellular structure.
firered,"It has the ability to change its form into the sun, the rain, or a snow cloud,  depending on the weather."
leafgreen,"It has the ability to change its form into the sun, the rain, or a snow cloud,  depending on the weather."
diamond,"Its appearance changes with the weather. Recently, its molecules were found to be just like water."
pearl,"Its appearance changes with the weather. Recently, its molecules were found to be just like water."
platinum,"Its appearance changes with the weather. Recently, its molecules were found to be just like water."
heartgold,"This Pokémon can change its cells, taking different forms based on the temperature and humidity."
soulsilver,"This Pokémon can change its cells, taking different forms based on the temperature and humidity."
black,"Its appearance changes with the weather. Recently, its molecules were found to be just like water."
white,"Its appearance changes with the weather. Recently, its molecules were found to be just like water."
black-2,"Temperature and weather affect its cellular structure, so this Pokémon changes form according to the weather."
white-2,"Temperature and weather affect its cellular structure, so this Pokémon changes form according to the weather."
x,"This Pokémon can change its cells, taking different forms based on the temperature and humidity."
y,"It has the ability to change its form into the sun, the rain, or a snow cloud, depending on the weather."
omega-ruby,Castform’s appearance changes with the weather. This Pokémon gained the ability to use the vast power of nature to protect its tiny body.
alpha-sapphire,"Castform borrows the power of nature to transform itself into the guises of the sun, rain, and snow-clouds. This Pokémon’s feelings change with the weather."
sun,It changes its form depending on the weather. Changes in the temperature or humidity appear to affect its cellular structure.
moon,"Its form changes on its own, due to its cells’ sensitive reactions to temperature and humidity."
ultra-sun,"Although its form changes with the weather, that is apparently the result of a chemical reaction and not the result of its own free will."
ultra-moon,"Its form changes depending on the weather. The rougher conditions get, the rougher Castform’s disposition!"
