Game,Flavor Text
diamond,"It is described in mythology as the Pokémon that shaped the universe with its 1,000 arms."
pearl,It is told in mythology that this Pokémon was born before the universe even existed.
platinum,"It is said to have emerged from an egg in a place where there was nothing, then shaped the world."
heartgold,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world."
soulsilver,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world."
black,"It is said to have emerged from an egg in a place where there was nothing, then shaped the world."
white,"It is said to have emerged from an egg in a place where there was nothing, then shaped the world."
black-2,It is said to have emerged from an egg in a place where there was nothing then shaped the world.
white-2,It is said to have emerged from an egg in a place where there was nothing then shaped the world.
x,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world."
y,It is told in mythology that this Pokémon was born before the universe even existed.
omega-ruby,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world."
alpha-sapphire,It is told in mythology that this Pokémon was born before the universe even existed.
legends-arceus,It is the heavenly fount from which pours the light that shines across Hisui. Its luminance guides and protects all Pokémon. Hisuian mythology states that Arceus is the creator of all things.
