Game,Flavor Text
black,"With its thin, veil-like arms wrapped around the body of its opponent, it sinks to the ocean floor."
white,"They paralyze prey with poison, then drag them down to their lairs, five miles below the surface."
black-2,"If its veil-like arms stun and wrap a foe, that foe will be dragged miles below the surface, never to return."
white-2,"If its veil-like arms stun and wrap a foe, that foe will be dragged miles below the surface, never to return."
x,"They paralyze prey with poison, then drag them down to their lairs, five miles below the surface."
y,"If its veil-like arms stun and wrap a foe, that foe will be dragged miles below the surface, never to return."
omega-ruby,"They paralyze prey with poison, then drag them down to their lairs, five miles below the surface."
alpha-sapphire,"If its veil-like arms stun and wrap a foe, that foe will be dragged miles below the surface, never to return."
ultra-sun,It wraps its veillike arms and legs around prey swimming by and drags them down to the depths of the ocean.
ultra-moon,"Using the invisible poison spikes on its veillike arms and legs, it paralyzes its enemies and causes them to drown."
sword,"It envelops its prey in its veillike arms and draws it down to the deeps, five miles below the ocean’s surface."
shield,Legend has it that the residents of a sunken ancient city changed into these Pokémon.
