Game,Flavor Text
red,A POKéMON that has been over­ hunted almost to extinction. It can ferry people across the water.
blue,A POKéMON that has been over­ hunted almost to extinction. It can ferry people across the water.
yellow,A gentle soul that can read the minds of people. It can ferry people across the sea on its back.
gold,"They have gentle hearts. Because they rarely fight, many have been caught. Their num­ ber has dwindled."
silver,It ferries people across the sea on its back. It may sing an enchanting cry if it is in a good mood.
crystal,This gentle POKéMON loves to give people rides and provides a ve­ ry comfortable way to get around.
ruby,"People have driven LAPRAS almost to the point of extinction. In the evenings, this POKéMON is said to sing plaintively as it seeks what few others of its kind still remain."
sapphire,"People have driven LAPRAS almost to the point of extinction. In the evenings, this POKéMON is said to sing plaintively as it seeks what few others of its kind still remain."
emerald,"People have driven LAPRAS almost to the point of extinction. In the evenings, it is said to sing plaintively as it seeks what few others of its kind still remain."
firered,Its high intelligence enables it to understand human speech. It likes to ferry people on its back.
leafgreen,A POKéMON that has been overhunted almost to extinction. It can ferry people on its back.
diamond,It loves crossing the sea with people and Pokémon on its back. It understands human speech.
pearl,It loves crossing the sea with people and Pokémon on its back. It understands human speech.
platinum,It loves crossing the sea with people and Pokémon on its back. It understands human speech.
heartgold,"They have gentle hearts. Because they rarely fight, many have been caught. Their number has dwindled."
soulsilver,It ferries people across the sea on its back. It may sing an enchanting cry if it is in a good mood.
black,It loves crossing the sea with people and Pokémon on its back. It understands human speech.
white,It loves crossing the sea with people and Pokémon on its back. It understands human speech.
black-2,"Able to understand human speech and very intelligent, it loves to swim in the sea with people on its back."
white-2,"Able to understand human speech and very intelligent, it loves to swim in the sea with people on its back."
x,"They have gentle hearts. Because they rarely fight, many have been caught. Their number has dwindled."
y,Its high intelligence enables it to understand human speech. It likes to ferry people on its back.
omega-ruby,"People have driven Lapras almost to the point of extinction. In the evenings, this Pokémon is said to sing plaintively as it seeks what few others of its kind still remain."
alpha-sapphire,"People have driven Lapras almost to the point of extinction. In the evenings, this Pokémon is said to sing plaintively as it seeks what few others of its kind still remain."
sun,"Its high intelligence enables it to comprehend human speech. When it’s in a good mood, it sings in its beautiful voice."
moon,"These Pokémon were once near extinction due to poaching. Following protective regulations, there is now an overabundance of them."
ultra-sun,"It likes swimming around with people on its back. In the Alola region, it’s an important means of transportation over water."
ultra-moon,They’ve been so cherished that there’s now an overabundance. The fish Pokémon population has declined in waters with too many Lapras.
lets-go-pikachu,A gentle soul that can understand human speech. It can ferry people across the sea on its back.
lets-go-eevee,A gentle soul that can understand human speech. It can ferry people across the sea on its back.
sword,"A smart and kindhearted Pokémon, it glides across the surface of the sea while its beautiful song echoes around it."
shield,Crossing icy seas is no issue for this cold-resistant Pokémon. Its smooth skin is a little cool to the touch.
