Game,Flavor Text
red,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.
blue,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.
yellow,Incredibly slow and sluggish. It is quite content to loll about without worrying about the time.
gold,"It lazes vacantly near water. If something bites its tail, it won't even notice for a whole day."
silver,"A sweet sap leaks from its tail's tip. Although not nutritious, the tail is pleasant to chew on."
crystal,"It is always so absent-minded that it won't react, even if its flavorful tail is bitten."
ruby,"SLOWPOKE uses its tail to catch prey by dipping it in water at the side of a river. However, this POKéMON often forgets what it’s doing and often spends entire days just loafing at water’s edge."
sapphire,"SLOWPOKE uses its tail to catch prey by dipping it in water at the side of a river. However, this POKéMON often forgets what it’s doing and often spends entire days just loafing at water’s edge."
emerald,It catches prey by dipping its tail in water at the side of a river. But it often forgets what it is doing and spends entire days just loafing at water’s edge.
firered,"It is always vacantly lost in thought, but no one knows what it is thinking about. It is good at fishing with its tail."
leafgreen,Incredibly slow and dopey. It takes five seconds for it to feel pain when under attack.
diamond,"Although slow, it is skilled at fishing with its tail. It does not feel pain if its tail is bitten."
pearl,"Although slow, it is skilled at fishing with its tail. It does not feel pain if its tail is bitten."
platinum,"Although slow, it is skilled at fishing with its tail. It does not feel pain if its tail is bitten."
heartgold,"It lazes vacantly near water. If something bites its tail, it won’t even notice for a whole day."
soulsilver,"A sweet sap leaks from its tail’s tip. Although not nutritious, the tail is pleasant to chew on."
black,"Although slow, it is skilled at fishing with its tail. It does not feel pain if its tail is bitten."
white,"Although slow, it is skilled at fishing with its tail. It does not feel pain if its tail is bitten."
black-2,"Although slow, it is skilled at fishing with its tail. It does not feel pain if its tail is bitten."
white-2,"Although slow, it is skilled at fishing with its tail. It does not feel pain if its tail is bitten."
x,"It is always vacantly lost in thought, but no one knows what it is thinking about. It is good at fishing with its tail."
y,"It lazes vacantly near water. If something bites its tail, it won’t even notice for a whole day."
omega-ruby,"Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it’s doing and often spends entire days just loafing at water’s edge."
alpha-sapphire,"Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it’s doing and often spends entire days just loafing at water’s edge."
sun,"Its long tail often breaks off. It doesn’t really feel any pain, though, and the tail grows back, so Slowpoke isn’t particularly bothered."
moon,Alolan home cooking involves drying Slowpoke tails and then simmering them into a salty stew.
ultra-sun,"There are some places where Slowpoke is worshiped because of a long-standing belief that whenever Slowpoke yawns, it rains."
ultra-moon,"Although their tails, which fall off naturally, can easily be found lying around, they’re a precious ingredient for cooking."
lets-go-pikachu,Incredibly slow and sluggish. It is quite content to loll about without worrying about the time.
lets-go-eevee,Incredibly slow and sluggish. It is quite content to loll about without worrying about the time.
sword,"Slow-witted and oblivious, this Pokémon won’t feel any pain if its tail gets eaten. It won’t notice when its tail grows back, either."
shield,"When this Pokémon’s tail is soaked in water, sweetness seeps from it. Slowpoke uses this trait to lure in and fish up other Pokémon."
