Game,Flavor Text
diamond,Any frontal attack is repulsed. It is a docile Pokémon that feeds on grass and berries.
pearl,"When attacked, they form a wall with their shieldlike faces to protect their young."
platinum,"When they lined up side by side, no foe could break through. They shielded their young in that way."
heartgold,"When attacked, they form a wall. Their rock-hard faces serve to protect them from the attacks."
soulsilver,"When attacked, they form a wall. Their rock-hard faces serve to protect them from the attacks."
black,"When they lined up side by side, no foe could break through. They shielded their young in that way."
white,"When they lined up side by side, no foe could break through. They shielded their young in that way."
black-2,"When they lined up side by side, no foe could break through. They shielded their young in that way."
white-2,"When they lined up side by side, no foe could break through. They shielded their young in that way."
x,"When they lined up side by side, no foe could break through. They shielded their young in that way."
y,Any frontal attack is repulsed. It is a docile Pokémon that feeds on grass and berries.
omega-ruby,"When they lined up side by side, no foe could break through. They shielded their young in that way."
alpha-sapphire,Any frontal attack is repulsed. It is a docile Pokémon that feeds on grass and berries.
sun,"While it can guard against any sort of attack from the front, it is left without recourse when attacked from behind."
moon,It lived in the same environments as Rampardos. Their fossils have been found together— seemingly from after they’d fought to the finish.
ultra-sun,"The bones of its face are huge and hard, so they were mistaken for its spine until after this Pokémon was successfully restored."
ultra-moon,This Pokémon is from roughly 100 million years ago. Its terrifyingly tough face is harder than steel.
legends-arceus,"Its face is sturdy—as strong as diamond—and this hardness offers a very stable defense. Much about this species is still unknown, such as its natural habitat."
