Game,Flavor Text
black,"It is thought that Conkeldurr taught humans how to make concrete more than 2,000 years ago."
white,They use concrete pillars as walking canes. They know moves that enable them to swing the pillars freely in battle.
black-2,"Rather than rely on force, they master moves that utilize the centrifugal force of spinning concrete."
white-2,"Rather than rely on force, they master moves that utilize the centrifugal force of spinning concrete."
x,"It is thought that Conkeldurr taught humans how to make concrete more than 2,000 years ago."
y,"Rather than rely on force, they master moves that utilize the centrifugal force of spinning concrete."
omega-ruby,"It is thought that Conkeldurr taught humans how to make concrete more than 2,000 years ago."
alpha-sapphire,"Rather than rely on force, they master moves that utilize the centrifugal force of spinning concrete."
sword,"Concrete mixed by Conkeldurr is much more durable than normal concrete, even when the compositions of the two materials are the same."
shield,"When going all out, this Pokémon throws aside its concrete pillars and leaps at opponents to pummel them with its fists."
