Game,Flavor Text
ruby,LOUDRED’s bellowing can completely decimate a wood-frame house. It uses its voice to punish its foes. This POKéMON’s round ears serve as loudspeakers.
sapphire,"LOUDRED shouts while stamping its feet. After it finishes shouting, this POKéMON becomes incapable of hearing anything for a while. This is considered to be a weak point."
emerald,It positions the round speakers on its head to assail foes with ultrasonic waves at massive volume. It builds power by stomping the ground.
firered,"When it stamps its feet and bellows, it generates ultrasonic waves that can blow apart a house."
leafgreen,"When it stamps its feet and bellows, it generates ultrasonic waves that can blow apart a house."
diamond,The shock waves from its cries can tip over trucks. It stamps its feet to power up.
pearl,The shock waves from its cries can tip over trucks. It stamps its feet to power up.
platinum,The shock waves from its cries can tip over trucks. It stamps its feet to power up.
heartgold,"It shouts loudly by inhaling air, and then uses its well-developed stomach muscles to exhale."
soulsilver,"It shouts loudly by inhaling air, and then uses its well-developed stomach muscles to exhale."
black,The shock waves from its cries can tip over trucks. It stamps its feet to power up.
white,The shock waves from its cries can tip over trucks. It stamps its feet to power up.
black-2,The shock waves from its cries can tip over trucks. It stamps its feet to power up.
white-2,The shock waves from its cries can tip over trucks. It stamps its feet to power up.
x,"It shouts loudly by inhaling air, and then uses its well-developed stomach muscles to exhale."
y,The shock waves from its cries can tip over trucks. It stamps its feet to power up.
omega-ruby,Loudred’s bellowing can completely decimate a wood-frame house. It uses its voice to punish its foes. This Pokémon’s round ears serve as loudspeakers.
alpha-sapphire,"Loudred shouts while stamping its feet. After it finishes shouting, this Pokémon becomes incapable of hearing anything for a while. This is considered to be a weak point."
sword,"Loudred’s ears serve as speakers, and they can put out sound waves powerful enough to blow away a house."
shield,The force of this Pokémon’s loud voice isn’t just the sound—it’s also the wave of air pressure that blows opponents away and damages them.
