Game,Flavor Text
diamond,"It attracts prey with a sweet aroma, then downs it with thorny whips hidden in its arms."
pearl,"With the movements of a dancer, it strikes with whips that are densely lined with poison thorns."
platinum,"Each of its hands contains different toxins, but both hands can jab with near-fatal power."
heartgold,"Its sweet aroma attracts prey. Then it spews poison. The more toxic it is, the sweeter its aroma."
soulsilver,"Its sweet aroma attracts prey. Then it spews poison. The more toxic it is, the sweeter its aroma."
black,"Each of its hands contains different toxins, but both hands can jab with near-fatal power."
white,"Each of its hands contains different toxins, but both hands can jab with near-fatal power."
black-2,"Luring prey with a sweet scent, it uses poison whips on its arms to poison, bind, and finish off the prey."
white-2,"Luring prey with a sweet scent, it uses poison whips on its arms to poison, bind, and finish off the prey."
x,"Luring prey with a sweet scent, it uses poison whips on its arms to poison, bind, and finish off the prey."
y,"With the movements of a dancer, it strikes with whips that are densely lined with poison thorns."
omega-ruby,"Luring prey with a sweet scent, it uses poison whips on its arms to poison, bind, and finish off the prey."
alpha-sapphire,"With the movements of a dancer, it strikes with whips that are densely lined with poison thorns."
sword,"After captivating opponents with its sweet scent, it lashes them with its thorny whips."
shield,The poison in its right hand is quick acting. The poison in its left hand is slow acting. Both are life threatening.
legends-arceus,Hidden within the bouquet on each hand are thorned whips loaded with virulent poison. Roserade moves gracefully as it corners its prey and mercilessly lashes them with its whips.
