Game,Flavor Text
ruby,"GLALIE has a body made of rock, which it hardens with an armor of ice. This POKéMON has the ability to freeze moisture in the atmosphere into any shape it desires."
sapphire,"GLALIE has the ability to freely control ice. For example, it can instantly freeze its foe solid. After immobilizing its foe in ice, this POKéMON enjoys eating it in leisurely fashion."
emerald,A GLALIE has the power to instantaneously freeze moisture in the atmosphere. A dazzling cloud of diamondlike ice crystals forms around its body.
firered,"It has a body of ice that won’t melt, even with fire. It can instantly freeze moisture in the atmosphere."
leafgreen,"It has a body of ice that won’t melt, even with fire. It can instantly freeze moisture in the atmosphere."
diamond,"To protect itself, it clads its body in an armor of ice, made by freezing moisture in the air."
pearl,"To protect itself, it clads its body in an armor of ice, made by freezing moisture in the air."
platinum,It prevents prey from escaping by instantaneously freezing moisture in the air.
heartgold,It can instantly freeze moisture in the atmosphere. It uses this power to freeze its foes.
soulsilver,It can instantly freeze moisture in the atmosphere. It uses this power to freeze its foes.
black,It prevents prey from escaping by instantaneously freezing moisture in the air.
white,It prevents prey from escaping by instantaneously freezing moisture in the air.
black-2,It prevents prey from escaping by instantaneously freezing moisture in the air.
white-2,It prevents prey from escaping by instantaneously freezing moisture in the air.
x,"To protect itself, it clad its body in an armor of ice, made by freezing moisture in the air."
y,It can instantly freeze moisture in the atmosphere. It uses this power to freeze its foes.
omega-ruby,"Glalie has a body made of rock, which it hardens with an armor of ice. This Pokémon has the ability to freeze moisture in the atmosphere into any shape it desires."
alpha-sapphire,"Glalie has the ability to freely control ice. For example, it can instantly freeze its prey solid. After immobilizing its prey in ice, this Pokémon enjoys eating it in leisurely fashion."
sun,"Legend says a boulder on an icy mountain absorbed the distress and regrets of a stranded mountaineer, giving rise to Glalie."
moon,"Its prey is instantaneously frozen stiff by the cold air it exhales from its huge mouth. While they’re in that frozen state, it gobbles them up."
ultra-sun,"It freezes its prey and chews them whole. However, it prefers to eat Pokémon like Vanillite that are already frozen."
ultra-moon,Its actual body is a rock that isn’t particularly hard. Glalie absorbs moisture from the air and drapes itself in an armor of ice.
sword,"It has a body of ice that won’t melt, even with fire. It can instantly freeze moisture in the atmosphere."
shield,It can instantly freeze moisture in the atmosphere. It uses this power to freeze its foes.
legends-arceus,"It covers its body with an armor of ice harder than steel. Uses its breath to freeze prey, which it then devours as if they were frozen desserts."
