Game,Flavor Text
x,"This very friendly Dragon-type Pokémon will hug its beloved Trainer, leaving that Trainer covered in sticky slime."
y,It attacks with retractable horns. It throws a punch that’s the equivalent of the force of a hundred pro boxers.
omega-ruby,"This very friendly Dragon-type Pokémon will hug its beloved Trainer, leaving that Trainer covered in sticky slime."
alpha-sapphire,It attacks with retractable horns. It throws a punch that’s the equivalent of the force of a hundred pro boxers.
sun,"An amazingly friendly Pokémon, but if left to itself, loneliness overcomes it, and it oozes gooey tears."
moon,"It gets picked on because it’s meek. But then, whoever teased it gets to feel the full force of its horns and a good swatting from its thick tail."
ultra-sun,"It’s very friendly toward people. If you grow close to it, Goodra will hug you with its sticky, slime-covered body. Don’t get mad."
ultra-moon,"Underneath its slimy skin is a thick layer of fat, and the combination of the two makes enemies’ attacks slide right off."
sword,"Sometimes it misunderstands instructions and appears dazed or bewildered. Many Trainers don’t mind, finding this behavior to be adorable."
shield,Its form of offense is forcefully stretching out its horns. The strikes land 100 times harder than any blow from a heavyweight boxer.
legends-arceus,Able to freely control the hardness of its metallic shell. It loathes solitude and is extremely clingy—it will fume and run riot if those dearest to it ever leave its side.
