Game,Flavor Text
ruby,"BRELOOM closes in on its foe with light and sprightly footwork, then throws punches with its stretchy arms. This POKéMON’s fighting technique puts boxers to shame."
sapphire,The seeds ringing BRELOOM’s tail are made of hardened toxic spores. It is horrible to eat the seeds. Just taking a bite of this POKéMON’s seed will cause your stomach to rumble.
emerald,It scatters spores from holes in the cap on its head. It loves warm and humid climates. It feeds on trees and plants in fields and forests.
firered,"The seeds on its tail are made of toxic spores. It knocks out foes with quick, virtually invisible punches."
leafgreen,"The seeds on its tail are made of toxic spores. It knocks out foes with quick, virtually invisible punches."
diamond,Its short arms stretch when it throws punches. Its technique is equal to that of pro boxers.
pearl,Its short arms stretch when it throws punches. Its technique is equal to that of pro boxers.
platinum,Its short arms stretch when it throws punches. Its technique is equal to that of pro boxers.
heartgold,It scatters poisonous spores and throws powerful punches while its foe is hampered by inhaled spores.
soulsilver,It scatters poisonous spores and throws powerful punches while its foe is hampered by inhaled spores.
black,Its short arms stretch when it throws punches. Its technique is equal to that of pro boxers.
white,Its short arms stretch when it throws punches. Its technique is equal to that of pro boxers.
black-2,Its short arms stretch when it throws punches. Its technique is equal to that of pro boxers.
white-2,Its short arms stretch when it throws punches. Its technique is equal to that of pro boxers.
x,Its short arms stretch when it throws punches. Its technique is equal to that of pro boxers.
y,It scatters poisonous spores and throws powerful punches while its foe is hampered by inhaled spores.
omega-ruby,"Breloom closes in on its foe with light and sprightly footwork, then throws punches with its stretchy arms. This Pokémon’s fighting technique puts boxers to shame."
alpha-sapphire,The seeds ringing Breloom’s tail are made of hardened toxic spores. It is horrible to eat the seeds. Just taking a bite of this Pokémon’s seed will cause your stomach to rumble.
