Game,Flavor Text
gold,It spins string not only from its rear but also from its mouth. It is hard to tell which end is which.
silver,A single strand of a special string is endlessly spun out of its rear. The string leads back to its nest.
crystal,"Rather than mak­ ing a nest in one specific spot, it wanders in search of food after darkness falls."
ruby,ARIADOS’s feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. This POKéMON constricts the foe with thin and strong silk webbing.
sapphire,ARIADOS’s feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. This POKéMON constricts the foe with thin and strong silk webbing.
emerald,Its feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. It constricts its foe with thin and strong silk webbing.
firered,A single strand of a special string is endlessly spun out of its rear. The string leads back to its nest.
leafgreen,It spins string not only from its rear but also from its mouth. It is hard to tell which end is which.
diamond,"It attaches silk to its prey and sets it free. Later, it tracks the silk to the prey and its friends."
pearl,"It attaches silk to its prey and sets it free. Later, it tracks the silk to the prey and its friends."
platinum,"It attaches silk to its prey and sets it free. Later, it tracks the silk to the prey and its friends."
heartgold,It spins string not only from its rear but also from its mouth. It’s hard to tell which end is which.
soulsilver,A single strand of a special string is endlessly spun out of its rear. The string leads back to its nest.
black,"It attaches silk to its prey and sets it free. Later, it tracks the silk to the prey and its friends."
white,"It attaches silk to its prey and sets it free. Later, it tracks the silk to the prey and its friends."
black-2,"It attaches silk to its prey and sets it free. Later, it tracks the silk to the prey and its friends."
white-2,"It attaches silk to its prey and sets it free. Later, it tracks the silk to the prey and its friends."
x,It spins string not only from its rear but also from its mouth. It’s hard to tell which end is which.
y,"It attaches silk to its prey and sets it free. Later, it tracks the silk to the prey and its friends."
omega-ruby,Ariados’s feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. This Pokémon constricts the foe with thin and strong silk webbing.
alpha-sapphire,Ariados’s feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. This Pokémon constricts the foe with thin and strong silk webbing.
sun,There are some areas where people use the string Ariados spins for their own weaving. The resulting cloth is popular for its strength.
moon,It spins thread from both its rear and its mouth. Then it wraps its prey up in thread and sips their bodily fluids at its leisure.
ultra-sun,"Every night, it wanders around in search of prey, whose movements it restrains by spewing threads before it bites into them with its fangs."
ultra-moon,"It spews threads from its mouth to catch its prey. When night falls, it leaves its web to go hunt aggressively."
