Game,Flavor Text
ruby,ARMALDO’s tough armor makes all attacks bounce off. This POKéMON’s two enormous claws can be freely extended or contracted. They have the power to punch right through a steel slab.
sapphire,"ARMALDO is a POKéMON species that became extinct in prehistoric times. This POKéMON is said to have walked on its hind legs, which would have been more convenient for life on land."
emerald,"ARMALDO usually lives on land. However, when it hunts for prey, it dives beneath the ocean. It swims around using its two large wings."
firered,"Protected by a hard shell, its body is very sturdy. It skewers prey with its claws to feed."
leafgreen,"Protected by a hard shell, its body is very sturdy. It skewers prey with its claws to feed."
diamond,It went ashore after evolving. Its entire body is clad in a sturdy armor.
pearl,It went ashore after evolving. Its entire body is clad in a sturdy armor.
platinum,It went ashore after evolving. Its entire body is clad in a sturdy armor.
heartgold,"Its enormous, retractable claws can cut through most anything. Its entire body is clad in sturdy plates."
soulsilver,"Its enormous, retractable claws can cut through most anything. Its entire body is clad in sturdy plates."
black,It went ashore after evolving. Its entire body is clad in a sturdy armor.
white,It went ashore after evolving. Its entire body is clad in a sturdy armor.
black-2,It went ashore after evolving. Its entire body is clad in a sturdy armor.
white-2,It went ashore after evolving. Its entire body is clad in a sturdy armor.
x,"Its enormous, retractable claws can cut through most anything. Its entire body is clad in sturdy plates."
y,"Protected by a hard shell, its body is very sturdy. It skewers prey with its claws to feed."
omega-ruby,Armaldo’s tough armor makes all attacks bounce off. This Pokémon’s two enormous claws can be freely extended or contracted. They have the power to punch right through a steel slab.
alpha-sapphire,"Armaldo is a Pokémon species that became extinct in prehistoric times. This Pokémon is said to have walked on its hind legs, which would have been more convenient for life on land."
ultra-sun,It lived on land and went out into the sea to hunt for prey. Its sharp claws were its greatest weapon.
ultra-moon,Armaldo adapted from living in water to living on land. It has been determined that it is the ancestor of some bug Pokémon.
sword,"After evolution, this Pokémon emerged onto land. Its lower body has become stronger, and blows from its tail are devastating."
shield,"Though it lives on land, it’s also a good swimmer. It dives into the ocean in search of prey, using its sharp claws to take down its quarry."
