Game,Flavor Text
diamond,"Its colors and shapes differ from region to region. In the Sinnoh region, two types are confirmed."
pearl,It lives along bodies of water. Its body shape has changed to suit its habitat.
platinum,"Beware of pushing strongly on its squishy body, as it makes a mysterious purple fluid ooze out."
heartgold,"Its shape and coloration vary, depending on its habitat."
soulsilver,"Its shape and coloration vary, depending on its habitat."
black,"Beware of pushing strongly on its squishy body, as it makes a mysterious purple fluid ooze out."
white,"Beware of pushing strongly on its squishy body, as it makes a mysterious purple fluid ooze out."
black-2,"Beware of pushing strongly on its squishy body, as it makes a mysterious purple fluid ooze out."
white-2,"Beware of pushing strongly on its squishy body, as it makes a mysterious purple fluid ooze out."
x,"Beware of pushing strongly on its squishy body, as it makes a mysterious purple fluid ooze out."
y,"Its shape and coloration vary, depending on its habitat."
omega-ruby,"Beware of pushing strongly on its squishy body, as it makes a mysterious purple fluid ooze out."
alpha-sapphire,"Its shape and coloration vary, depending on its habitat."
sun,"For the most part, it makes its home along the seashore. Its color and form differ according to its habitat and the quality of its food."
moon,"Purple mucus sticks to the hands of anyone who touches it. Take care, as the substance is troublesome to wash off."
ultra-sun,"While they normally live in the sea, they can function on land, too, until their skin dries out."
ultra-moon,"When it senses danger, a purple liquid oozes out of it. The liquid is thought to be something like greasy sweat."
sword,"This Pokémon’s habitat shapes its physique. According to some theories, life in warm ocean waters causes this variation to develop."
shield,"Subjecting this Pokémon to a strong force causes it to secrete a strange purple fluid. Though harmless, the fluid is awfully sticky."
legends-arceus,Found in abundance on seashores bordering warm waters. Shellos are unexpectedly friendly and will crawl toward any person they see. Take care not to get coated in mucus!
