Game,Flavor Text
gold,"It swings its long snout around play­ fully, but because it is so strong, that can be dan­ gerous."
silver,"As a sign of af­ fection, it bumps with its snout. However, it is so strong, it may send you flying."
crystal,"During the desert­ ed morning hours, it comes ashore where it deftly uses its trunk to take a shower."
ruby,"For its nest, PHANPY digs a vertical pit  in the ground at the edge of a river. It marks the area around its nest with its trunk to let the others know that the area has been claimed."
sapphire,"PHANPY uses its long nose to shower itself. When others gather around, they thoroughly douse each other with water. These POKéMON can be seen drying their soaking-wet bodies at the edge of water."
emerald,"PHANPY’s big ears serve as broad fans. When it becomes hot, it flaps the ears busily to cool down. Even the young are very strong."
firered,"As a sign of affection, it bumps with its snout. However, it is so strong, it may send you flying."
leafgreen,"It swings its long snout around playfully, but because it is so strong, this can be dangerous."
diamond,It is strong despite its compact size. It can easily pick up and carry an adult human on its back.
pearl,It is strong despite its compact size. It can easily pick up and carry an adult human on its back.
platinum,It is strong despite its compact size. It can easily pick up and carry an adult human on its back.
heartgold,"It swings its long snout around playfully, but because it is so strong, that can be dangerous."
soulsilver,"As a sign of affection, it bumps with its snout. However, it is so strong, it may send you flying."
black,It is strong despite its compact size. It can easily pick up and carry an adult human on its back.
white,It is strong despite its compact size. It can easily pick up and carry an adult human on its back.
black-2,It is strong despite its compact size. It can easily pick up and carry an adult human on its back.
white-2,It is strong despite its compact size. It can easily pick up and carry an adult human on its back.
x,"As a sign of affection, it bumps with its snout. However, it is so strong, it may send you flying."
y,It is strong despite its compact size. It can easily pick up and carry an adult human on its back.
omega-ruby,"For its nest, Phanpy digs a vertical pit in the ground at the edge of a river. It marks the area around its nest with its trunk to let the others know that the area has been claimed."
alpha-sapphire,"Phanpy uses its long nose to shower itself. When others gather around, they thoroughly douse each other with water. These Pokémon can be seen drying their soaking-wet bodies at the edge of water."
