Game,Flavor Text
black,These Pokémon vanish and appear unexpectedly. Many Trainers are drawn to their beautiful form and fur.
white,"Stealthily, it sneaks up on its target, striking from behind before its victim has a chance to react."
black-2,Their beautiful form comes from the muscles they have developed. They run silently in the night.
white-2,Their beautiful form comes from the muscles they have developed. They run silently in the night.
x,Their beautiful form comes from the muscles they have developed. They run silently in the night.
y,"Stealthily, it sneaks up on its target, striking from behind before its victim has a chance to react."
omega-ruby,Their beautiful form comes from the muscles they have developed. They run silently in the night.
alpha-sapphire,"Stealthily, it sneaks up on its target, striking from behind before its victim has a chance to react."
sword,Don’t be fooled by its gorgeous fur and elegant figure. This is a moody and vicious Pokémon.
shield,This stealthy Pokémon sneaks up behind prey without making any sound at all. It competes with Thievul for territory.
