Game,Flavor Text
black,"Its skin has a rubbery elasticity, so it can reduce damage by defensively pulling its skin up to its neck."
white,It immediately headbutts anyone that makes eye contact with it. Its skull is massively thick.
black-2,"Proud of its sturdy skull, it suddenly headbutts everything, but its weight makes it unstable, too."
white-2,"Proud of its sturdy skull, it suddenly headbutts everything, but its weight makes it unstable, too."
x,"Its skin has a rubbery elasticity, so it can reduce damage by defensively pulling its skin up to its neck."
y,"Proud of its sturdy skull, it suddenly headbutts everything, but its weight makes it unstable, too."
omega-ruby,"Its skin has a rubbery elasticity, so it can reduce damage by defensively pulling its skin up to its neck."
alpha-sapphire,"Proud of its sturdy skull, it suddenly headbutts everything, but its weight makes it unstable, too."
ultra-sun,"They move in small groups, walking around lazily. Anyone who makes eye contact gets smacked with a headbutt."
ultra-moon,"It stretches its saggy skin up to its neck to protect itself. The saggier their skin, the more respect they garner."
sword,"If it locks eyes with you, watch out! Nothing and no one is safe from the reckless headbutts of this troublesome Pokémon."
shield,It protects itself with its durable skin. It’s thought that this Pokémon will evolve once its skin has completely stretched out.
