Game,Flavor Text
gold,It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.
silver,"If it smells some­ thing enticing, it dashes headlong off to find the source of the aroma."
crystal,It uses the tip of its nose to dig for food. Its nose is so tough that even frozen ground poses no problem.
ruby,SWINUB roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under the cover of dead grass. This POKéMON occasionally roots out hot springs.
sapphire,SWINUB roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under the cover of dead grass. This POKéMON occasionally roots out hot springs.
emerald,It roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under dried grass. It occasionally roots out hot springs.
firered,"If it smells something enticing, it dashes off headlong to find the source of the aroma."
leafgreen,It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.
diamond,It loves eating mushrooms that grow under dead grass. It also finds hot springs while foraging.
pearl,It loves eating mushrooms that grow under dead grass. It also finds hot springs while foraging.
platinum,"It has a very sensitive nose. It can locate mushrooms, berries, and even hot springs buried under ice."
heartgold,It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.
soulsilver,"If it smells something enticing, it dashes off headlong to find the source of the aroma."
black,"It has a very sensitive nose. It can locate mushrooms, berries, and even hot springs buried under ice."
white,"It has a very sensitive nose. It can locate mushrooms, berries, and even hot springs buried under ice."
black-2,"Rooting the tip of its snout into the ground, it searches for food. Sometimes it even digs up a hot spring."
white-2,"Rooting the tip of its snout into the ground, it searches for food. Sometimes it even digs up a hot spring."
x,It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.
y,"If it smells something enticing, it dashes off headlong to find the source of the aroma."
omega-ruby,Swinub roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under the cover of dead grass. This Pokémon occasionally roots out hot springs.
alpha-sapphire,Swinub roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under the cover of dead grass. This Pokémon occasionally roots out hot springs.
sword,It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.
shield,"If it smells something enticing, it dashes off headlong to find the source of the aroma."
legends-arceus,"Swinub excels at sniffing out mushrooms buried beneath grass or snow. Since ancient times, the people of Hisui have often relied upon this skill."
