Game,Flavor Text
red,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.
blue,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.
yellow,"It prefers dark places. It spends most of its time underground, though it may pop up in caves."
gold,"Its skin is very thin. If it is exposed to light, its blood heats up, causing it to grow weak."
silver,"If a DIGLETT DIGS through a field, it leaves the soil perfectly tilled and ideal for planting crops."
crystal,"It digs under­ ground and chews on tree roots, sticking its head out only when the sun isn't bright."
ruby,"DIGLETT are raised in most farms. The reason is simple - wherever this POKéMON burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables."
sapphire,"DIGLETT are raised in most farms. The reason is simple - wherever this POKéMON burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables."
emerald,"DIGLETT are raised in most farms. The reason is simple--wherever they burrow, the soil is left perfectly tilled for growing delicious crops."
firered,"It burrows through the ground at a shallow depth. It leaves raised earth in its wake, making it easy to spot."
leafgreen,Lives about one yard underground where it feeds on plant roots. It sometimes appears aboveground.
diamond,"A Pokémon that lives underground. Because of its dark habitat, it is repelled by bright sunlight."
pearl,"A Pokémon that lives underground. Because of its dark habitat, it is repelled by bright sunlight."
platinum,"A Pokémon that lives underground. Because of its dark habitat, it is repelled by bright sunlight."
heartgold,"Its skin is very thin. If it is exposed to light, its blood heats up, causing it to grow weak."
soulsilver,"If a DIGLETT digs through a field, it leaves the soil perfectly tilled and ideal for planting crops."
black,"A Pokémon that lives underground. Because of its dark habitat, it is repelled by bright sunlight."
white,"A Pokémon that lives underground. Because of its dark habitat, it is repelled by bright sunlight."
black-2,"A Pokémon that lives underground. Because of its dark habitat, it is repelled by bright sunlight."
white-2,"A Pokémon that lives underground. Because of its dark habitat, it is repelled by bright sunlight."
x,Lives about one yard underground where it feeds on plant roots. It sometimes appears aboveground.
y,"Its skin is very thin. If it is exposed to light, its blood heats up, causing it to grow weak."
omega-ruby,"Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables."
alpha-sapphire,"Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables."
sun,It chews on plant roots underground. Farmers whose vegetables are vulnerable find it can be quite a pest.
moon,Many farmers cherish and nurture Diglett because its droppings enrich the soil it lives in.
ultra-sun,"It travels through tunnels that it digs underground. It hates sunlight, so it comes out only after the sun goes down."
ultra-moon,"Around their crops, farmers plant the kind of tree that Diglett like to eat as a way of getting Diglett to plow the fields for them."
lets-go-pikachu,"It prefers dark places. It spends most of its time underground, though it may pop up in caves."
lets-go-eevee,"It prefers dark places. It spends most of its time underground, though it may pop up in caves."
sword,"If a Diglett digs through a field, it leaves the soil perfectly tilled and ideal for planting crops."
shield,"It burrows through the ground at a shallow depth. It leaves raised earth in its wake, making it easy to spot."
