Game,Flavor Text
red,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see."
blue,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see."
yellow,Punches in cork­ screw fashion. It can punch its way through a concrete wall in the same way as a drill.
gold,"Its punches slice the air. However, it seems to need a short break after fighting for three minutes."
silver,"Its punches slice the air. They are launched at such high speed, even a slight graze could cause a burn."
crystal,"To increase the strength of all its punch moves, it spins its arms just before making contact."
ruby,HITMONCHAN is said to possess the spirit of a boxer who had been working towards a world championship. This POKéMON has an indomitable spirit and will never give up in the face of adversity.
sapphire,HITMONCHAN is said to possess the spirit of a boxer who had been working towards a world championship. This POKéMON has an indomitable spirit and will never give up in the face of adversity.
emerald,A HITMONCHAN is said to possess the spirit of a boxer who aimed to become the world champion. Having an indomitable spirit means that it will never give up.
firered,The spirit of a pro boxer has infused this POKéMON. It throws punches that are faster than a bullet train.
leafgreen,"While apparently doing nothing, it fires punches in lightning-fast volleys that are impossible to see."
diamond,The arm-twisting punches it throws pulverize even concrete. It rests after three minutes of fighting.
pearl,The arm-twisting punches it throws pulverize even concrete. It rests after three minutes of fighting.
platinum,The arm-twisting punches it throws pulverize even concrete. It rests after three minutes of fighting.
heartgold,"Its punches slice the air. However, it seems to need a short break after fighting for three minutes."
soulsilver,"Its punches slice the air. They are launched at such high speed, even a slight graze could cause a burn."
black,The arm-twisting punches it throws pulverize even concrete. It rests after three minutes of fighting.
white,The arm-twisting punches it throws pulverize even concrete. It rests after three minutes of fighting.
black-2,The arm-twisting punches it throws pulverize even concrete. It rests after three minutes of fighting.
white-2,The arm-twisting punches it throws pulverize even concrete. It rests after three minutes of fighting.
x,The arm-twisting punches it throws pulverize even concrete. It rests after three minutes of fighting.
y,The spirit of a pro boxer has infused this Pokémon. It throws punches that are faster than a bullet train.
omega-ruby,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.
alpha-sapphire,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.
lets-go-pikachu,Punches in corkscrew fashion. It can punch its way through a concrete wall like a drill.
lets-go-eevee,Punches in corkscrew fashion. It can punch its way through a concrete wall like a drill.
sword,"Its punches slice the air. They are launched at such high speed, even a slight graze could cause a burn."
shield,"Its punches slice the air. However, it seems to need a short break after fighting for three minutes."
