Game,Flavor Text
red,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful."
blue,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful."
yellow,"Will eat anything, even if the food happens to be a little moldy. It never gets an upset stomach."
gold,What sounds like its cry may ac­ tually be its snores or the rumblings of its hungry belly.
silver,Its stomach's di­ gestive juices can dissolve any kind of poison. It can even eat things off the ground.
crystal,"This POKéMON's stomach is so strong, even eating moldy or rotten food will not affect it."
ruby,SNORLAX’s typical day consists of nothing more than eating and sleeping. It is such a docile POKéMON that there are children who use its expansive belly as a place to play.
sapphire,SNORLAX’s typical day consists of nothing more than eating and sleeping. It is such a docile POKéMON that there are children who use its expansive belly as a place to play.
emerald,SNORLAX’s typical day consists of nothing more than eating and sleeping. It is such a docile POKéMON that there are children who use its big belly as a place to play.
firered,"It is not satisfied unless it eats over 880 pounds of food every day. When it is done eating, it goes promptly to sleep."
leafgreen,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful."
diamond,"Its stomach can digest any kind of food, even if it happens to be moldy or rotten."
pearl,It stops eating only to sleep. It doesn’t feel full unless it eats nearly 900 pounds a day.
platinum,"When its belly is full, it becomes too lethargic to even lift a finger, so it is safe to bounce on its belly."
heartgold,What sounds like its cry may actually be its snores or the rumblings of its hungry belly.
soulsilver,Its stomach’s digestive juices can dissolve any kind of poison. It can even eat things off the ground.
black,"When its belly is full, it becomes too lethargic to even lift a finger, so it is safe to bounce on its belly."
white,"When its belly is full, it becomes too lethargic to even lift a finger, so it is safe to bounce on its belly."
black-2,"When its belly is full, it becomes too lethargic to even lift a finger, so it is safe to bounce on its belly."
white-2,"When its belly is full, it becomes too lethargic to even lift a finger, so it is safe to bounce on its belly."
x,"It is not satisfied unless it eats over 880 pounds of food every day. When it is done eating, it goes promptly to sleep."
y,"Its stomach can digest any kind of food, even if it happens to be moldy or rotten."
omega-ruby,Snorlax’s typical day consists of nothing more than eating and sleeping. It is such a docile Pokémon that there are children who use its expansive belly as a place to play.
alpha-sapphire,Snorlax’s typical day consists of nothing more than eating and sleeping. It is such a docile Pokémon that there are children who use its expansive belly as a place to play.
sun,Its stomach is said to be incomparably strong. Even Muk’s poison is nothing more than a hint of spice on Snorlax’s tongue.
moon,It eats nearly 900 pounds of food every day. It starts nodding off while eating—and continues to eat even while it’s asleep.
ultra-sun,"It doesn’t do anything other than eat and sleep. When prompted to make a serious effort, though, it apparently displays awesome power."
ultra-moon,"It has no interest in anything other than eating. Even if you climb up on its stomach while it’s napping, it doesn’t seem to mind at all!"
lets-go-pikachu,"Will eat anything, even if the food happens to be a little moldy. It never gets an upset stomach."
lets-go-eevee,"Will eat anything, even if the food happens to be a little moldy. It never gets an upset stomach."
sword,"It is not satisfied unless it eats over 880 pounds of food every day. When it is done eating, it goes promptly to sleep."
shield,"This Pokémon’s stomach is so strong, even eating moldy or rotten food will not affect it."
legends-arceus,This glutton appears in villages without warning and devours the entirety of their rice granaries—such occurrences have long been counted among the gravest of disasters.
