Game,Flavor Text
gold,It is said that it quietly spends its time deep at the bottom of the sea because its powers are too strong.
silver,It is said to be the guardian of the seas. It is rumored to have been seen on the night of a storm.
crystal,It has an incred­ ible ability to calm raging sto­ rms. It is said that LUGIA appears when storms start.
ruby,"LUGIA’s wings pack devastating power - a light fluttering of its wings can blow apart regular houses. As a result, this POKéMON chooses to live out of sight deep under the sea."
sapphire,"LUGIA’s wings pack devastating power - a light fluttering of its wings can blow apart regular houses. As a result, this POKéMON chooses to live out of sight deep under the sea."
emerald,"LUGIA is so powerful even a light fluttering of its wings can blow apart houses. As a result, it chooses to live out of sight deep under the sea."
firered,It is said to be the guardian of the seas. It is rumored to have been seen on the night of a storm.
leafgreen,It is said that it quietly spends its time deep at the bottom of the sea because its powers are too strong.
diamond,"It sleeps in a deep-sea trench. If it flaps its wings, it is said to cause a 40-day storm."
pearl,"It sleeps in a deep-sea trench. If it flaps its wings, it is said to cause a 40-day storm."
platinum,"It sleeps in a deep-sea trench. If it flaps its wings, it is said to cause a 40-day storm."
heartgold,It is said that it quietly spends its time deep at the bottom of the sea because its powers are too strong.
soulsilver,It is said to be the guardian of the seas. It is rumored to have been seen on the night of a storm.
black,"It sleeps in a deep-sea trench. If it flaps its wings, it is said to cause a 40-day storm."
white,"It sleeps in a deep-sea trench. If it flaps its wings, it is said to cause a 40-day storm."
black-2,"It sleeps in a deep-sea trench. If it flaps its wings, it is said to cause a 40-day storm."
white-2,"It sleeps in a deep-sea trench. If it flaps its wings, it is said to cause a 40-day storm."
x,"It sleeps in a deep-sea trench. If it flaps its wings, it is said to cause a 40-day storm."
y,It is said to be the guardian of the seas. It is rumored to have been seen on the night of a storm.
omega-ruby,"Lugia’s wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea."
alpha-sapphire,"Lugia’s wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea."
