Game,Flavor Text
ruby,ROSELIA shoots sharp thorns as projectiles at any opponent that tries to steal the flowers on its arms. The aroma of this POKéMON brings serenity to living things.
sapphire,"On extremely rare occasions, a ROSELIA is said to appear with its flowers in unusual colors. The thorns on this POKéMON’s head contain a vicious poison."
emerald,A ROSELIA that drinks nutritionally rich springwater blooms with lovely flowers. The fragrance of its flowers has the effect of making its foes careless.
firered,"Its flowers give off a relaxing fragrance. The stronger its aroma, the healthier the ROSELIA is."
leafgreen,"Its flowers give off a relaxing fragrance. The stronger its aroma, the healthier the ROSELIA is."
diamond,ROSELIA raised on clean drinking water are known to grow vividly colored flowers.
pearl,The beautiful flowers on its arms have toxic thorns. Don’t even think about picking those flowers.
platinum,"The more healthy the ROSELIA, the more pleasant its flowers’ aroma. Its scent deeply relaxes people."
heartgold,ROSELIA that drink nutritionally rich springwater are said to reveal rare coloration when they bloom.
soulsilver,ROSELIA that drink nutritionally rich springwater are said to reveal rare coloration when they bloom.
black,"The more healthy the Roselia, the more pleasant its flowers’ aroma. Its scent deeply relaxes people."
white,"The more healthy the Roselia, the more pleasant its flowers’ aroma. Its scent deeply relaxes people."
black-2,"It uses the different poisons in each hand separately when it attacks. The stronger its aroma, the healthier it is."
white-2,"It uses the different poisons in each hand separately when it attacks. The stronger its aroma, the healthier it is."
x,"It uses the different poisons in each hand separately when it attacks. The stronger its aroma, the healthier it is."
y,Roselia that drink nutritionally rich springwater are said to reveal rare coloration when they bloom.
omega-ruby,Roselia shoots sharp thorns as projectiles at any opponent that tries to steal the flowers on its arms. The aroma of this Pokémon brings serenity to living things.
alpha-sapphire,"On extremely rare occasions, a Roselia is said to appear with its flowers in unusual colors. The thorns on this Pokémon’s head contain a vicious poison."
sword,"Its flowers give off a relaxing fragrance. The stronger its aroma, the healthier the Roselia is."
shield,"It uses the different poisons in each hand separately when it attacks. The stronger its aroma, the healthier it is."
legends-arceus,"Though beautiful, it has highly poisonous thorns. There is an old tradition in my homeland wherein one would send these thorns to an opponent to challenge them to a duel."
