Game,Flavor Text
ruby,"EXPLOUD triggers earthquakes with the tremors it creates by bellowing. If this POKéMON violently inhales from the ports on its body, it’s a sign that it is preparing to let loose a huge bellow."
sapphire,EXPLOUD communicates its feelings to the others by emitting whistle-like sounds from the tubes on its body. This POKéMON only raises its voice when it is in battle.
emerald,It has sound-generating organs all over its body. It communicates with others by adjusting the tone and volume of the cries it emits.
firered,It emits a variety of sounds from the  holes all over its body. Its loud cries can be heard from over six miles away.
leafgreen,It emits a variety of sounds from the  holes all over its body. Its loud cries can be heard from over six miles away.
diamond,Its howls can be heard over six miles away. It emits all sorts of noises from the ports on its body.
pearl,Its howls can be heard over six miles away. It emits all sorts of noises from the ports on its body.
platinum,Its howls can be heard over six miles away. It emits all sorts of noises from the ports on its body.
heartgold,Its roar in battle shakes the ground like a tremor--or like an earthquake has struck.
soulsilver,Its roar in battle shakes the ground like a tremor--or like an earthquake has struck.
black,Its howls can be heard over six miles away. It emits all sorts of noises from the ports on its body.
white,Its howls can be heard over six miles away. It emits all sorts of noises from the ports on its body.
black-2,Its howls can be heard over six miles away. It emits all sorts of noises from the ports on its body.
white-2,Its howls can be heard over six miles away. It emits all sorts of noises from the ports on its body.
x,Its howls can be heard over six miles away. It emits all sorts of noises from the ports on its body.
y,Its roar in battle shakes the ground like a tremor--or like an earthquake has struck.
omega-ruby,"Exploud triggers earthquakes with the tremors it creates by bellowing. If this Pokémon violently inhales from the ports on its body, it’s a sign that it is preparing to let loose a huge bellow."
alpha-sapphire,Exploud communicates its feelings to the others by emitting whistle-like sounds from the tubes on its body. This Pokémon only raises its voice when it is in battle.
sword,"In the past, people would use the loud voices of these Pokémon as a means of communication between distant cities."
shield,"This Pokémon can do more than just shout. To communicate with others of its kind, it’ll emit all sorts of sounds from the holes in its body."
