Game,Flavor Text
black,"The energy that burns inside it enables it to move, but no one has yet been able to identify this energy."
white,These Pokémon are thought to have been created by the science of an ancient and mysterious civilization.
black-2,Ancient science fashioned this Pokémon from clay. It’s been active for thousands of years.
white-2,Ancient science fashioned this Pokémon from clay. It’s been active for thousands of years.
x,"The energy that burns inside it enables it to move, but no one has yet been able to identify this energy."
y,Ancient science fashioned this Pokémon from clay. It’s been active for thousands of years.
omega-ruby,"The energy that burns inside it enables it to move, but no one has yet been able to identify this energy."
alpha-sapphire,Ancient science fashioned this Pokémon from clay. It’s been active for thousands of years.
ultra-sun,"Its movements are powered by a mysterious energy. It has continued to move since ancient times, so its power may soon run out."
ultra-moon,"Although ancient people apparently built it by working with clay, the source of its energy is unclear."
sword,"They were sculpted from clay in ancient times. No one knows why, but some of them are driven to continually line up boulders."
shield,"This Pokémon was created from clay. It received orders from its master many thousands of years ago, and it still follows those orders to this day."
