Game,Flavor Text
ruby,MIGHTYENA gives obvious signals when it is preparing to attack. It starts to growl deeply and then flattens its body. This POKéMON will bite savagely with its sharply pointed fangs.
sapphire,MIGHTYENA travel and act as a pack in the wild. The memory of its life in the wild compels the POKéMON to obey only those TRAINERS that it recognizes to possess superior skill.
emerald,"In the wild, MIGHTYENA live in a pack. They never defy their leader’s orders. They defeat foes with perfectly coordinated teamwork."
firered,It will always obey the commands of a skilled TRAINER. Its behavior arises from its living in packs in ancient times.
leafgreen,It will always obey the commands of a skilled TRAINER. Its behavior arises from its living in packs in ancient times.
diamond,It chases down prey in a pack. It will never disobey the commands of a skilled Trainer.
pearl,It chases down prey in a pack. It will never disobey the commands of a skilled Trainer.
platinum,It chases down prey in a pack. It will never disobey the commands of a skilled Trainer.
heartgold,It chases down prey in a pack of around ten. They defeat foes with perfectly coordinated teamwork.
soulsilver,It chases down prey in a pack of around ten. They defeat foes with perfectly coordinated teamwork.
black,It chases down prey in a pack. It will never disobey the commands of a skilled Trainer.
white,It chases down prey in a pack. It will never disobey the commands of a skilled Trainer.
black-2,It chases down prey in a pack. It will never disobey the commands of a skilled Trainer.
white-2,It chases down prey in a pack. It will never disobey the commands of a skilled Trainer.
x,It will always obey the commands of a skilled Trainer. Its behavior arises from its living in packs in ancient times.
y,It chases down prey in a pack of around ten. They defeat foes with perfectly coordinated teamwork.
omega-ruby,Mightyena gives obvious signals when it is preparing to attack. It starts to growl deeply and then flattens its body. This Pokémon will bite savagely with its sharply pointed fangs.
alpha-sapphire,Mightyena travel and act as a pack in the wild. The memory of its life in the wild compels the Pokémon to obey only those Trainers that it recognizes to possess superior skill.
