Game,Flavor Text
red,"Although long extinct, in rare cases, it can be genetically resurrected from fossils."
blue,"Although long extinct, in rare cases, it can be genetically resurrected from fossils."
yellow,An ancient POKéMON that was recovered from a fossil. It swims by cleverly twisting its 10 tentacles about.
gold,"Revived from an ancient fossil, this POKéMON uses air stored in its shell to sink and rise in water."
silver,This POKéMON from ancient times is said to have navi­ gated the sea by adeptly twisting its 10 tentacles.
crystal,"In prehistoric times, it swam on the sea floor, eating plankton. Its fossils are sometimes found."
ruby,"OMANYTE is one of the ancient and long- since-extinct POKéMON that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell."
sapphire,"OMANYTE is one of the ancient and long- since-extinct POKéMON that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell."
emerald,"One of the ancient and long-since-extinct POKéMON that have been regenerated from fossils by humans. If attacked, it withdraws into its hard shell."
firered,"A prehistoric POKéMON that lived in the primordial sea, it swims by twisting its 10 tentacles about."
leafgreen,"Although long extinct, in rare cases, it can be genetically regenerated from fossils."
diamond,A Pokémon that was resurrected from a fossil using modern science. It swam in ancient seas.
pearl,A Pokémon that was resurrected from a fossil using modern science. It swam in ancient seas.
platinum,A Pokémon that was resurrected from a fossil using modern science. It swam in ancient seas.
heartgold,"Revived from an ancient fossil, this Pokémon uses air stored in its shell to sink and rise in water."
soulsilver,This Pokémon from ancient times is said to have navigated the sea by adeptly twisting its 10 tentacles.
black,A Pokémon that was resurrected from a fossil using modern science. It swam in ancient seas.
white,A Pokémon that was resurrected from a fossil using modern science. It swam in ancient seas.
black-2,A Pokémon that was resurrected from a fossil using modern science. It swam in ancient seas.
white-2,A Pokémon that was resurrected from a fossil using modern science. It swam in ancient seas.
x,"A prehistoric Pokémon that lived in the primordial sea, it swims by twisting its 10 tentacles about."
y,"Revived from an ancient fossil, this Pokémon uses air stored in its shell to sink and rise in water."
omega-ruby,"Omanyte is one of the ancient and long-since-extinct Pokémon that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell."
alpha-sapphire,"Omanyte is one of the ancient and long-since-extinct Pokémon that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell."
ultra-sun,"Omanyte lived in the seas of antiquity. Its fossils have been found bearing bite marks from Archeops, so apparently Archeops preyed on it."
ultra-moon,"It was restored from an ancient fossil. Those Helix Fossils are excavated from areas that were once oceans long, long ago."
lets-go-pikachu,An ancient Pokémon that was recovered from a fossil. It swam by cleverly twisting its 10 tentacles about.
lets-go-eevee,An ancient Pokémon that was recovered from a fossil. It swam by cleverly twisting its 10 tentacles about.
sword,"Because some Omanyte manage to escape after being restored or are released into the wild by people, this species is becoming a problem."
shield,"This Pokémon is a member of an ancient, extinct species. Omanyte paddles through water with its 10 tentacles, looking like it’s just drifting along."
