Game,Flavor Text
ruby,"MEDITITE undertakes rigorous mental training deep in the mountains. However, whenever it meditates, this POKéMON always loses its concentration and focus. As a result, its training never ends."
sapphire,MEDITITE heightens its inner energy through meditation. It survives on just one berry a day. Minimal eating is another aspect of this POKéMON’s training.
emerald,"It continually meditates for hours every day. As a result of rigorous and dedicated yoga training, it has tempered its spiritual power so much it can fly."
firered,It never skips its daily yoga training. It heightens its inner strength through meditation.
leafgreen,It never skips its daily yoga training. It heightens its inner strength through meditation.
diamond,"It eats just one berry a day. By enduring hunger, its spirit is tempered and made sharper."
pearl,"It never misses its daily yoga workouts, and it heightens its spiritual power through meditation."
platinum,It always trains deep in mountains. It levitates when it heightens its spiritual power through meditation.
heartgold,It meditates to heighten its inner energy and to float in the air. It eats one berry a day.
soulsilver,It meditates to heighten its inner energy and to float in the air. It eats one berry a day.
black,It always trains deep in mountains. It levitates when it heightens its spiritual power through meditation.
white,It always trains deep in mountains. It levitates when it heightens its spiritual power through meditation.
black-2,It always trains deep in mountains. It levitates when it heightens its spiritual power through meditation.
white-2,It always trains deep in mountains. It levitates when it heightens its spiritual power through meditation.
x,It always trains deep in mountains. It levitates when it heightens its spiritual power through meditation.
y,"It eats just one berry a day. By enduring hunger, its spirit is tempered and made sharper."
omega-ruby,"Meditite undertakes rigorous mental training deep in the mountains. However, whenever it meditates, this Pokémon always loses its concentration and focus. As a result, its training never ends."
alpha-sapphire,Meditite heightens its inner energy through meditation. It survives on just one berry a day. Minimal eating is another aspect of this Pokémon’s training.
