Game,Flavor Text
red,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
blue,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
yellow,The bulb on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.
gold,Exposure to sun­ light adds to its strength. Sunlight also makes the bud on its back grow larger.
silver,"If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom."
crystal,The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms.
ruby,"There is a bud on this POKéMON’s back. To support its weight, IVYSAUR’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon."
sapphire,"There is a bud on this POKéMON’s back. To support its weight, IVYSAUR’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon."
emerald,"To support its bulb, IVYSAUR’s legs grow sturdy. If it spends more time lying in the sunlight, the bud will soon bloom into a large flower."
firered,"There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower."
leafgreen,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
diamond,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom."
pearl,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom."
platinum,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom."
heartgold,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.
soulsilver,"If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom."
black,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom."
white,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom."
black-2,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom."
white-2,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom."
x,"There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower."
y,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom."
omega-ruby,"There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon."
alpha-sapphire,"There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon."
lets-go-pikachu,The bud on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.
lets-go-eevee,The bud on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.
sword,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
shield,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.
