Game,Flavor Text
gold,The bloom on top of its head opens and closes as the temperature fluc­ tuates up and down.
silver,It spreads its petals to absorb sunlight. It also floats in the air to get closer to the sun.
crystal,"As soon as it rains, it closes its flower and hides in the shade of a tree to avoid getting wet."
ruby,"SKIPLOOM’s flower blossoms when the temperature rises above 64 degrees F. How much the flower opens depends on the temperature. For that reason, this POKéMON is sometimes used as a thermometer."
sapphire,"SKIPLOOM’s flower blossoms when the temperature rises above 64 degrees F. How much the flower opens depends on the temperature. For that reason, this POKéMON is sometimes used as a thermometer."
emerald,"It blossoms when the temperature rises above 64 degrees F. Because its flower’s blooming changes with the temperature, it is sometimes used as a thermometer."
firered,It spreads its petals to absorb sunlight. It also floats in the air to get closer to the sun.
leafgreen,The bloom on top of its head opens and closes as the temperature fluctuates up and down.
diamond,It blooms when the weather warms. It floats in the sky to soak up as much sunlight as possible.
pearl,It blooms when the weather warms. It floats in the sky to soak up as much sunlight as possible.
platinum,It blooms when the weather warms. It floats in the sky to soak up as much sunlight as possible.
heartgold,The bloom on top of its head opens and closes as the temperature fluctuates up and down.
soulsilver,It spreads its petals to absorb sunlight. It also floats in the air to get closer to the sun.
black,It blooms when the weather warms. It floats in the sky to soak up as much sunlight as possible.
white,It blooms when the weather warms. It floats in the sky to soak up as much sunlight as possible.
black-2,It blooms when the weather warms. It floats in the sky to soak up as much sunlight as possible.
white-2,It blooms when the weather warms. It floats in the sky to soak up as much sunlight as possible.
x,The bloom on top of its head opens and closes as the temperature fluctuates up and down.
y,It spreads its petals to absorb sunlight. It also floats in the air to get closer to the sun.
omega-ruby,"Skiploom’s flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer."
alpha-sapphire,"Skiploom’s flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer."
