Game,Flavor Text
black,"This Pokémon appears in legends. It sends flames into the air from its tail, burning up everything around it."
white,"When Reshiram’s tail flares, the heat energy moves the atmosphere and changes the world’s weather."
black-2,This legendary Pokémon can scorch the world with fire. It helps those who want to build a world of truth.
white-2,This legendary Pokémon can scorch the world with fire. It helps those who want to build a world of truth.
x,This legendary Pokémon can scorch the world with fire. It helps those who want to build a world of truth.
y,"When Reshiram’s tail flares, the heat energy moves the atmosphere and changes the world’s weather."
omega-ruby,This legendary Pokémon can scorch the world with fire. It helps those who want to build a world of truth.
alpha-sapphire,"When Reshiram’s tail flares, the heat energy moves the atmosphere and changes the world’s weather."
sword,Flames spew from its tail as it flies through the sky like a jet airplane. It’s said that this Pokémon will scorch the world.
shield,"According to myth, if people ignore truth and let themselves become consumed by greed, Reshiram will arrive to burn their kingdoms down."
