Game,Flavor Text
gold,It flies straight at its target's face then clamps down on the star­ tled victim to inject poison.
silver,"It usually clings to cliffs. When it spots its prey, it spreads its wings and glides down to attack."
crystal,"It builds its nest on a steep cliff. When it is done gliding, it hops along the ground back to its nest."
ruby,"GLIGAR glides through the air without a sound as if it were sliding. This POKéMON hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb."
sapphire,"GLIGAR glides through the air without a sound as if it were sliding. This POKéMON hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb."
emerald,"It glides without making a single sound. It grasps the face of its foe using its hind and large front claws, then stabs with its poison barb."
firered,"It usually clings to cliffs. When it spots its prey, it spreads its wings and glides down to attack."
leafgreen,"It flies straight at its target’s face, then clamps down on the startled victim to inject poison."
diamond,It sails on the winds with its limbs extended to strike from the sky. It aims for the prey’s face.
pearl,It sails on the winds with its limbs extended to strike from the sky. It aims for the prey’s face.
platinum,"It glides as if sliding. It startles foes by clamping on to their faces, then jabs with its poison stinger."
heartgold,"It flies straight at its target’s face, then clamps down on the startled victim to inject poison."
soulsilver,"It usually clings to cliffs. When it spots its prey, it spreads its wings and glides down to attack."
black,"It glides as if sliding. It startles foes by clamping on to their faces, then jabs with its poison stinger."
white,"It glides as if sliding. It startles foes by clamping on to their faces, then jabs with its poison stinger."
black-2,It clamps on to its chosen prey then jabs the stinger on its tail into the prey while it’s stunned with surprise.
white-2,It clamps on to its chosen prey then jabs the stinger on its tail into the prey while it’s stunned with surprise.
x,"It usually clings to cliffs. When it spots its prey, it spreads its wings and glides down to attack."
y,"It flies straight at its target’s face, then clamps down on the startled victim to inject poison."
omega-ruby,"Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb."
alpha-sapphire,"Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb."
legends-arceus,"Its tail is tipped by a thick, horrible stinger. To bring down prey, it will first obscure their vision by covering their faces with its body, and then it will use the stinger to inject them with venom."
