Game,Flavor Text
ruby,"CAMERUPT has a volcano inside its body. Magma of 18,000 degrees F courses through its body. Occasionally, the humps on this POKéMON’s back erupt, spewing the superheated magma."
sapphire,The humps on CAMERUPT’s back are formed by a transformation of its bones. They sometimes blast out molten magma. This POKéMON apparently erupts often when it is enraged.
emerald,"A POKéMON that lives in the crater of a volcano. Every 10 years, the volcanoes on its back erupt violently. Research is under way on the cause of eruption."
firered,"If angered, the humps on its back erupt in a shower of molten lava. It lives in the craters of volcanoes."
leafgreen,"If angered, the humps on its back erupt in a shower of molten lava. It lives in the craters of volcanoes."
diamond,"It has volcanoes on its back. If magma builds up in its body, it shudders, then erupts violently."
pearl,"It has volcanoes on its back. If magma builds up in its body, it shudders, then erupts violently."
platinum,"It has volcanoes on its back. If magma builds up in its body, it shudders, then erupts violently."
heartgold,It lives in the crater of a volcano. It is well known that the humps on its back erupt every 10 years.
soulsilver,It lives in the crater of a volcano. It is well known that the humps on its back erupt every 10 years.
black,"It has volcanoes on its back. If magma builds up in its body, it shudders, then erupts violently."
white,"It has volcanoes on its back. If magma builds up in its body, it shudders, then erupts violently."
black-2,The volcanoes on its back have a major eruption every 10 years--or whenever it becomes really angry.
white-2,The volcanoes on its back have a major eruption every 10 years--or whenever it becomes really angry.
x,The volcanoes on its back have a major eruption every 10 years--or whenever it becomes really angry.
y,"If angered, the humps on its back erupt in a shower of molten lava. It lives in the craters of volcanoes."
omega-ruby,"Camerupt has a volcano inside its body. Magma of 18,000 degrees Fahrenheit courses through its body. Occasionally, the humps on this Pokémon’s back erupt, spewing the superheated magma."
alpha-sapphire,The humps on Camerupt’s back are formed by a transformation of its bones. They sometimes blast out molten magma. This Pokémon apparently erupts often when it is enraged.
