Game,Flavor Text
ruby,TREECKO has small hooks on the bottom of its feet that enable it to scale vertical walls. This POKéMON attacks by slamming foes with its thick tail.
sapphire,"TREECKO is cool, calm, and collected - it never panics under any situation. If a bigger foe were to glare at this POKéMON, it would glare right back without conceding an inch of ground."
emerald,It makes its nest in a giant tree in the forest. It ferociously guards against anything nearing its territory. It is said to be the protector of the forest’s trees.
firered,It quickly scales even vertical walls. It senses humidity with its tail to predict the next day’s weather.
leafgreen,It quickly scales even vertical walls. It senses humidity with its tail to predict the next day’s weather.
diamond,"The soles of its feet are covered by countless tiny spikes, enabling it to walk on walls and ceilings."
pearl,"The soles of its feet are covered by countless tiny spikes, enabling it to walk on walls and ceilings."
platinum,"The soles of its feet are covered by countless tiny spikes, enabling it to walk on walls and ceilings."
heartgold,Small hooks on the bottom of its feet catch on walls and ceilings. That is how it can hang from above.
soulsilver,Small hooks on the bottom of its feet catch on walls and ceilings. That is how it can hang from above.
black,"The soles of its feet are covered by countless tiny spikes, enabling it to walk on walls and ceilings."
white,"The soles of its feet are covered by countless tiny spikes, enabling it to walk on walls and ceilings."
black-2,"The soles of its feet are covered by countless tiny spikes, enabling it to walk on walls and ceilings."
white-2,"The soles of its feet are covered by countless tiny spikes, enabling it to walk on walls and ceilings."
x,It quickly scales even vertical walls. It senses humidity with its tail to predict the next day’s weather.
y,Small hooks on the bottom of its feet catch on walls and ceilings. That is how it can hang from above.
omega-ruby,Treecko has small hooks on the bottom of its feet that enable it to scale vertical walls. This Pokémon attacks by slamming foes with its thick tail.
alpha-sapphire,"Treecko is cool, calm, and collected—it never panics under any situation. If a bigger foe were to glare at this Pokémon, it would glare right back without conceding an inch of ground."
