Game,Flavor Text
ruby,LAIRON tempers its steel body by drinking highly nutritious mineral springwater until it is bloated. This POKéMON makes its nest close to springs of delicious water.
sapphire,"LAIRON feeds on iron contained in rocks and water. It makes its nest on mountains where iron ore is buried. As a result, the POKéMON often clashes with humans mining the iron ore."
emerald,"When two LAIRON meet in the wild, they fight for territory by bashing into each other with their steel bodies. The sound of their collision carries for miles."
firered,It habitually shows off its strength with the size of sparks it creates by ramming its steel body into boulders.
leafgreen,It habitually shows off its strength with the size of sparks it creates by ramming its steel body into boulders.
diamond,"For food, it digs up iron ore. It smashes its steely body against others to fight over territory."
pearl,"For food, it digs up iron ore. It smashes its steely body against others to fight over territory."
platinum,"For food, it digs up iron ore. It smashes its steely body against others to fight over territory."
heartgold,It loves iron ore. Groups of them fight for territory by bashing one another with their steel bodies.
soulsilver,It loves iron ore. Groups of them fight for territory by bashing one another with their steel bodies.
black,"For food, it digs up iron ore. It smashes its steely body against others to fight over territory."
white,"For food, it digs up iron ore. It smashes its steely body against others to fight over territory."
black-2,"Lairon fight over territory, and when their steel bodies collide, sparks fly."
white-2,"Lairon fight over territory, and when their steel bodies collide, sparks fly."
x,It loves iron ore. Groups of them fight for territory by bashing one another with their steel bodies.
y,It habitually shows off its strength with the size of sparks it creates by ramming its steel body into boulders.
omega-ruby,Lairon tempers its steel body by drinking highly nutritious mineral springwater until it is bloated. This Pokémon makes its nest close to springs of delicious water.
alpha-sapphire,"Lairon feeds on iron contained in rocks and water. It makes its nest on mountains where iron ore is buried. As a result, the Pokémon often clashes with humans mining the iron ore."
sword,"Lairon live in mountains brimming with spring water and iron ore, so these Pokémon often came into conflict with humans in the past."
shield,"During territorial disputes, Lairon fight by slamming into each other. Close inspection of their steel armor reveals scratches and dents."
