Game,Flavor Text
ruby,"SNORUNT live in regions with heavy snowfall. In seasons without snow, such as spring and summer, this POKéMON steals away to live quietly among stalactites and stalagmites deep in caverns."
sapphire,SNORUNT survives by eating only snow and ice. Old folklore claims that a house visited by this POKéMON is sure to prosper for many generations to come.
emerald,"They tend to move about in groups of around five SNORUNT. In snowy regions, it is said that when they are seen late at night, snowfall will arrive by morning."
firered,It is said that a home visited by a SNORUNT will prosper. It can withstand cold of minus 150 degrees Fahrenheit.
leafgreen,It is said that a home visited by a SNORUNT will prosper. It can withstand cold of minus 150 degrees Fahrenheit.
diamond,"In the snow country, certain folklore says a house will prosper if a SNORUNT lives there."
pearl,"In the snow country, certain folklore says a house will prosper if a SNORUNT lives there."
platinum,It is said that several SNORUNT gather under giant leaves and live together in harmony.
heartgold,"It’s said that if they are seen at midnight, they’ll cause heavy snow. They eat snow and ice to survive."
soulsilver,"It’s said that if they are seen at midnight, they’ll cause heavy snow. They eat snow and ice to survive."
black,It is said that several Snorunt gather under giant leaves and live together in harmony.
white,It is said that several Snorunt gather under giant leaves and live together in harmony.
black-2,It is said that several Snorunt gather under giant leaves and live together in harmony.
white-2,It is said that several Snorunt gather under giant leaves and live together in harmony.
x,It is said that several Snorunt gather under giant leaves and live together in harmony.
y,"In the snow country, certain folklore says a house will prosper if a Snorunt lives there."
omega-ruby,"Snorunt live in regions with heavy snowfall. In seasons without snow, such as spring and summer, this Pokémon steals away to live quietly among stalactites and stalagmites deep in caverns."
alpha-sapphire,Snorunt survives by eating only snow and ice. Old folklore claims that a house visited by this Pokémon is sure to prosper for many generations to come.
sun,Their numbers seem to have rapidly increased in Alola. Custom has it that houses where Snorunt live will be prosperous for generations to come.
moon,"It can only survive in cold areas. It bounces happily around, even in environments as cold as -150 degrees Fahrenheit."
ultra-sun,It feeds mainly on ice and snow. It’s only able to survive in a limited number of places in the warm Alola region.
ultra-moon,Rich people from cold areas all share childhood memories of playing with Snorunt.
sword,"It’s said that if they are seen at midnight, they’ll cause heavy snow. They eat snow and ice to survive."
shield,"It can only survive in cold areas. It bounces happily around, even in environments as cold as −150 degrees Fahrenheit."
legends-arceus,"Arrives alongside the first snow. It's thought that homes Snorunt visit will prosper for many generations. By tradition, one might offer a lump of ice made from pure water at one's front door."
