Game,Flavor Text
ruby,"In battle, BLAZIKEN blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this POKéMON’s wrists burn."
sapphire,BLAZIKEN has incredibly strong legs - it can easily clear a 30-story building in one leap. This POKéMON’s blazing punches leave its foes scorched and blackened.
emerald,"It learns martial arts that use punches and kicks. Every several years, its old feathers burn off, and new, supple feathers grow back in their place."
firered,"When facing a tough foe, it looses flames from its wrists. Its powerful legs let it jump clear over buildings."
leafgreen,"When facing a tough foe, it looses flames from its wrists. Its powerful legs let it jump clear over buildings."
diamond,"Flames spout from its wrists, enveloping its knuckles. Its punches scorch its foes."
pearl,"Flames spout from its wrists, enveloping its knuckles. Its punches scorch its foes."
platinum,"Flames spout from its wrists, enveloping its knuckles. Its punches scorch its foes."
heartgold,It can clear a 30-story building in a leap. Its fiery punches scorch its foes.
soulsilver,It can clear a 30-story building in a leap. Its fiery punches scorch its foes.
black,"Flames spout from its wrists, enveloping its knuckles. Its punches scorch its foes."
white,"Flames spout from its wrists, enveloping its knuckles. Its punches scorch its foes."
black-2,"Flames spout from its wrists, enveloping its knuckles. Its punches scorch its foes."
white-2,"Flames spout from its wrists, enveloping its knuckles. Its punches scorch its foes."
x,It can clear a 30-story building in a leap. Its fiery punches scorch its foes.
y,"When facing a tough foe, it looses flames from its wrists. Its powerful legs let it jump clear over buildings."
omega-ruby,"In battle, Blaziken blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this Pokémon’s wrists burn."
alpha-sapphire,Blaziken has incredibly strong legs—it can easily clear a 30-story building in one leap. This Pokémon’s blazing punches leave its foes scorched and blackened.
