Game,Flavor Text
gold,"It has sharp, hard tusks and a rugged hide. Its TACKLE is strong enough to knock down a house."
silver,"The longer and bigger its tusks, the higher its rank in its herd. The tusks take long to grow."
crystal,"Because this POKéMON's skin is so tough, a normal attack won't even leave a scratch on it."
ruby,"DONPHAN’s favorite attack is curling its body into a ball, then charging at its foe while rolling at high speed. Once it starts rolling, this POKéMON can’t stop very easily."
sapphire,"If DONPHAN were to tackle with its hard body, even a house could be destroyed. Using its massive strength, the POKéMON helps clear rock and mud slides that block mountain trails."
emerald,A DONPHAN is so strong it can easily haul a dump truck. Its hide has toughened to a rock-hard state. An ordinary sort of attack won’t even leave a scratch.
firered,"The longer and bigger its tusks, the higher its rank in its herd. The tusks take a long time to grow."
leafgreen,"It has sharp, hard tusks and a rugged hide. Its TACKLE is strong enough to knock down a house."
diamond,"It attacks by curling up, then rolling into its foe. It can blow apart a house in one hit."
pearl,"It attacks by curling up, then rolling into its foe. It can blow apart a house in one hit."
platinum,"It attacks by curling up, then rolling into its foe. It can blow apart a house in one hit."
heartgold,"It has sharp, hard tusks and a rugged hide. Its tackle is strong enough to knock down a house."
soulsilver,"The longer and bigger its tusks, the higher its rank in its herd. The tusks take long to grow."
black,"It attacks by curling up, then rolling into its foe. It can blow apart a house in one hit."
white,"It attacks by curling up, then rolling into its foe. It can blow apart a house in one hit."
black-2,It attacks by curling up then rolling into its foe. It can blow apart a house in one hit.
white-2,It attacks by curling up then rolling into its foe. It can blow apart a house in one hit.
x,"It has sharp, hard tusks and a rugged hide. Its Tackle is strong enough to knock down a house."
y,"The longer and bigger its tusks, the higher its rank in its herd. The tusks take long to grow."
omega-ruby,"Donphan’s favorite attack is curling its body into a ball, then charging at its foe while rolling at high speed. Once it starts rolling, this Pokémon can’t stop very easily."
alpha-sapphire,"If Donphan were to tackle with its hard body, even a house could be destroyed. Using its massive strength, the Pokémon helps clear rock and mud slides that block mountain trails."
