Game,Flavor Text
gold,This POKéMON lives in cold water. It will leave the water to search for food when it gets cold outside.
silver,"When it walks a­ round on the ground, it coats its body with a slimy, poisonous film."
crystal,A mucous membrane covers its body. Touching it barehanded will cause a shooting pain.
ruby,"WOOPER usually lives in water. However, it occasionally comes out onto land in search of food. On land, it coats its body with a gooey, toxic film."
sapphire,"WOOPER usually lives in water. However, it occasionally comes out onto land in search of food. On land, it coats its body with a gooey, toxic film."
emerald,"WOOPER usually live in water but come out onto land seeking food occasionally. On land, they coat their bodies with a gooey, toxic film."
firered,"When it walks around on the ground, it coats its body with a slimy, poisonous film."
leafgreen,This POKéMON lives in cold water. It will leave the water to search for food when it gets cold outside.
diamond,"It lives in cold water, half burying itself in mud at the bottom to sleep."
pearl,"When the temperature cools in the evening, they emerge from water to seek food along the shore."
platinum,"When walking on land, it covers its body with a poisonous film that keeps its skin from dehydrating."
heartgold,This Pokémon lives in cold water. It will leave the water to search for food when it gets cold outside.
soulsilver,"When it walks around on the ground, it coats its body with a slimy, poisonous film."
black,"When walking on land, it covers its body with a poisonous film that keeps its skin from dehydrating."
white,"When walking on land, it covers its body with a poisonous film that keeps its skin from dehydrating."
black-2,"When walking on land, it covers its body with a poisonous film that keeps its skin from dehydrating."
white-2,"When walking on land, it covers its body with a poisonous film that keeps its skin from dehydrating."
x,This Pokémon lives in cold water. It will leave the water to search for food when it gets cold outside.
y,"When the temperature cools in the evening, they emerge from water to seek food along the shore."
omega-ruby,"Wooper usually lives in water. However, it occasionally comes out onto land in search of food. On land, it coats its body with a gooey, toxic film."
alpha-sapphire,"Wooper usually lives in water. However, it occasionally comes out onto land in search of food. On land, it coats its body with a gooey, toxic film."
sword,This Pokémon lives in cold water. It will leave the water to search for food when it gets cold outside.
shield,"When walking on land, it covers its body with a poisonous film that keeps its skin from dehydrating."
