Game,Flavor Text
gold,The shell on its back is just skin that has cooled and hardened. It breaks easily with a slight touch.
silver,Its brittle shell occasionally spouts intense flames that cir­ culate throughout its body.
crystal,Its body is as hot as lava and is always billowing. Flames will occasionally burst from its shell.
ruby,MAGCARGO’s shell is actually its skin that hardened as a result of cooling. Its shell is very brittle and fragile - just touching it causes it to crumble apart. This POKéMON returns to its original size by dipping itself in magma.
sapphire,"MAGCARGO’s body temperature is approximately 18,000 degrees F. Water is vaporized on contact. If this POKéMON is caught in the rain, the raindrops instantly turn into steam, cloaking the area in a thick fog."
emerald,The shell on its back is made of hardened magma. Tens of thousands of years spent living in volcanic craters have turned MAGCARGO’s bodies into magma.
firered,Its brittle shell occasionally spouts intense flames that circulate throughout its body.
leafgreen,The shell on its back is just skin that has cooled and hardened. It breaks easily with a slight touch.
diamond,"Its body temperature is roughly 18,000 degrees F. Flames spout from gaps in its hardened shell."
pearl,"Its body temperature is roughly 18,000 degrees F. Flames spout from gaps in its hardened shell."
platinum,"Its body temperature is roughly 18,000 degrees F. Flames spout from gaps in its hardened shell."
heartgold,The shell on its back is just skin that has cooled and hardened. It breaks easily with a slight touch.
soulsilver,Its brittle shell occasionally spouts intense flames that  circulate throughout its body.
black,"Its body temperature is roughly 18,000 degrees F. Flames spout from gaps in its hardened shell."
white,"Its body temperature is roughly 18,000 degrees F. Flames spout from gaps in its hardened shell."
black-2,"Its body temperature is roughly 18,000 degrees F. Flames spout from gaps in its hardened shell."
white-2,"Its body temperature is roughly 18,000 degrees F. Flames spout from gaps in its hardened shell."
x,Its brittle shell occasionally spouts intense flames that circulate throughout its body.
y,Its body is as hot as lava and is always billowing. Flames will occasionally burst from its shell.
omega-ruby,Magcargo’s shell is actually its skin that hardened as a result of cooling. Its shell is very brittle and fragile—just touching it causes it to crumble apart. This Pokémon returns to its original size by dipping itself in magma.
alpha-sapphire,"Magcargo’s body temperature is approximately 18,000 degrees Fahrenheit. Water is vaporized on contact. If this Pokémon is caught in the rain, the raindrops instantly turn into steam, cloaking the area in a thick fog."
