Game,Flavor Text
black,"It can manipulate an opponent’s memory. Apparently, it communicates by flashing its three different-colored fingers."
white,It uses psychic power to control an opponent’s brain and tamper with its memories.
black-2,"Apparently, it communicates by flashing its three fingers, but those patterns haven’t been decoded."
white-2,"Apparently, it communicates by flashing its three fingers, but those patterns haven’t been decoded."
x,"Apparently, it communicates by flashing its three fingers, but those patterns haven’t been decoded."
y,It uses psychic power to control an opponent’s brain and tamper with its memories.
omega-ruby,"Apparently, it communicates by flashing its three fingers, but those patterns haven’t been decoded."
alpha-sapphire,It uses psychic power to control an opponent’s brain and tamper with its memories.
ultra-sun,"With its psychic powers, it rewrites its opponents’ memories. You, too, may have already had your memories rewritten."
ultra-moon,"It has strong psychic powers. Using its fingers that flash three different colors, it controls its opponents and rewrites their memories."
sword,"Whenever a Beheeyem visits a farm, a Dubwool mysteriously disappears."
shield,"Sometimes found drifting above wheat fields, this Pokémon can control the memories of its opponents."
