Game,Flavor Text
red,It seductively wiggles its hips as it walks. It can cause people to dance in unison with it.
blue,It seductively wiggles its hips as it walks. It can cause people to dance in unison with it.
yellow,"Appears to move to a rhythm of its own, as if it were dancing. It wiggles its hips as it walks."
gold,It rocks its body rhythmically. It appears to alter the rhythm depend­ ing on how it is feeling.
silver,"It speaks a lan­ guage similar to that of humans. However, it seems to use dancing to communicate."
crystal,"It has several different cry pat­ terns, each of which seems to have its own meaning."
ruby,"JYNX walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing."
sapphire,"JYNX walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing."
emerald,"A JYNX sashays rhythmically as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without noticing."
firered,It speaks using a language that sounds human. Research is under way to determine what is being said.
leafgreen,It seductively wiggles its hips as it walks. It can cause people to dance in unison with it.
diamond,"Its cries sound like human speech. However, it is impossible to tell what it is trying to say."
pearl,"Its cries sound like human speech. However, it is impossible to tell what it is trying to say."
platinum,"Its cries sound like human speech. However, it is impossible to tell what it is trying to say."
heartgold,It rocks its body rhythmically. It appears to alter the rhythm depending on how it is feeling.
soulsilver,"It speaks a language similar to that of humans. However, it seems to use dancing to communicate."
black,"Its cries sound like human speech. However, it is impossible to tell what it is trying to say."
white,"Its cries sound like human speech. However, it is impossible to tell what it is trying to say."
black-2,"Its cries sound like human speech. However, it is impossible to tell what it is trying to say."
white-2,"Its cries sound like human speech. However, it is impossible to tell what it is trying to say."
x,It wiggles its hips as it walks. It can cause people to dance in unison with it.
y,It speaks using a language that sounds human. Research is under way to determine what is being said.
omega-ruby,"Jynx walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing."
alpha-sapphire,"Jynx walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing."
ultra-sun,It sways its hips to a rhythm all its own. The precise movements of Jynx living in Alola are truly wonderful.
ultra-moon,Its strange cries sound like human language. There are some musicians who compose songs for Jynx to sing.
lets-go-pikachu,"Appears to move to a rhythm of its own, as if it were dancing. It wiggles its hips as it walks."
lets-go-eevee,"Appears to move to a rhythm of its own, as if it were dancing. It wiggles its hips as it walks."
sword,"In certain parts of Galar, Jynx was once feared and worshiped as the Queen of Ice."
shield,The Jynx of Galar often have beautiful and delicate voices. Some of these Pokémon have even gathered a fan base.
