Game,Flavor Text
red,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.
blue,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.
yellow,"If it senses any danger, it will vigorously spray water or a special type of ink from its mouth."
gold,"If attacked by a larger enemy, it quickly swims to safety by adeptly controlling its dorsal fin."
silver,"Its big, developed fins move rapidly, allowing it to swim backward while still facing forward."
crystal,"When they're in a safe location, they can be seen playfully tangling their tails together."
ruby,"HORSEA eats small insects and moss off of rocks. If the ocean current turns fast, this POKéMON anchors itself by wrapping its tail around rocks or coral to prevent being washed away."
sapphire,"If HORSEA senses danger, it will reflexively spray a dense black ink from its mouth and try to escape. This POKéMON swims by cleverly flapping the fins on its back."
emerald,"By cleverly flicking the fins on its back side to side, it moves in any direction while facing forward. It spits ink to escape if it senses danger."
firered,"It maintains balance using its tail, which is wound up like a coil. It may spray ink from its mouth."
leafgreen,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.
diamond,"It makes its nest in the shade of corals. If it senses danger, it spits murky ink and flees."
pearl,"It makes its nest in the shade of corals. If it senses danger, it spits murky ink and flees."
platinum,"It makes its nest in the shade of corals. If it senses danger, it spits murky ink and flees."
heartgold,"If attacked by a larger enemy, it quickly swims to safety by adeptly controlling its well-developed dorsal fin."
soulsilver,"Its big, developed fins move rapidly, allowing it to swim backward while still facing forward."
black,"It makes its nest in the shade of corals. If it senses danger, it spits murky ink and flees."
white,"It makes its nest in the shade of corals. If it senses danger, it spits murky ink and flees."
black-2,"It makes its nest in the shade of corals. If it senses danger, it spits murky ink and flees."
white-2,"It makes its nest in the shade of corals. If it senses danger, it spits murky ink and flees."
x,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.
y,"It makes its nest in the shade of corals. If it senses danger, it spits murky ink and flees."
omega-ruby,"Horsea eats small insects and moss off of rocks. If the ocean current turns fast, this Pokémon anchors itself by wrapping its tail around rocks or coral to prevent being washed away."
alpha-sapphire,"If Horsea senses danger, it will reflexively spray a dense black ink from its mouth and try to escape. This Pokémon swims by cleverly flapping the fin on its back."
lets-go-pikachu,"If it senses any danger, it will vigorously spray water or a special type of ink from its mouth."
lets-go-eevee,"If it senses any danger, it will vigorously spray water or a special type of ink from its mouth."
sword,"Horsea makes its home in oceans with gentle currents. If this Pokémon is under attack, it spits out pitch-black ink and escapes."
shield,They swim with dance-like motions and cause whirlpools to form. Horsea compete to see which of them can generate the biggest whirlpool.
