Game,Flavor Text
ruby,"At first sight, POOCHYENA takes a bite at anything that moves. This POKéMON chases after prey until the victim becomes exhausted. However, it may turn tail if the prey strikes back."
sapphire,POOCHYENA is an omnivore - it will eat anything. A distinguishing feature is how large its fangs are compared to its body. This POKéMON tries to intimidate its foes by making the hair on its tail bristle out.
emerald,"It savagely threatens foes with bared fangs. It chases after fleeing targets tenaciously. It turns tail and runs, however, if the foe strikes back."
firered,It has a very tenacious nature. Its acute sense of smell lets it chase a chosen prey without ever losing track.
leafgreen,It has a very tenacious nature. Its acute sense of smell lets it chase a chosen prey without ever losing track.
diamond,"A Pokémon with a persistent nature, it chases its chosen prey until the prey becomes exhausted."
pearl,"A Pokémon with a persistent nature, it chases its chosen prey until the prey becomes exhausted."
platinum,"A Pokémon with a persistent nature, it chases its chosen prey until the prey becomes exhausted."
heartgold,"It chases its prey until the victim becomes exhausted. However, it turns tail if the prey strikes back."
soulsilver,"It chases its prey until the victim becomes exhausted. However, it turns tail if the prey strikes back."
black,"A Pokémon with a persistent nature, it chases its chosen prey until the prey becomes exhausted."
white,"A Pokémon with a persistent nature, it chases its chosen prey until the prey becomes exhausted."
black-2,"A Pokémon with a persistent nature, it chases its chosen prey until the prey becomes exhausted."
white-2,"A Pokémon with a persistent nature, it chases its chosen prey until the prey becomes exhausted."
x,"A Pokémon with a persistent nature, it chases its chosen prey until the prey becomes exhausted."
y,It has a very tenacious nature. Its acute sense of smell lets it chase a chosen prey without ever losing track.
omega-ruby,"At first sight, Poochyena takes a bite at anything that moves. This Pokémon chases after prey until the victim becomes exhausted. However, it may turn tail if the prey strikes back."
alpha-sapphire,Poochyena is an omnivore—it will eat anything. A distinguishing feature is how large its fangs are compared to its body. This Pokémon tries to intimidate its foes by making the hair on its tail bristle out.
