Game,Flavor Text
gold,It traps enemies with its suction- cupped tentacles then smashes them with its rock-hard head.
silver,"It instinctively sneaks into rocky holes. If it gets sleepy, it steals the nest of a fel­ low OCTILLERY."
crystal,Its instinct is to bury itself in holes. It often steals the nesting holes of others to sleep in them.
ruby,"OCTILLERY grabs onto its foe using its tentacles. This POKéMON tries to immobilize it before delivering the finishing blow. If the foe turns out to be too strong, OCTILLERY spews ink to escape."
sapphire,"OCTILLERY grabs onto its foe using its tentacles. This POKéMON tries to immobilize it before delivering the finishing blow. If the foe turns out to be too strong, OCTILLERY spews ink to escape."
emerald,"It ensnares its foe with its suction- cupped tentacles before delivering the finishing blow. If the foe turns out to be too strong, it spews ink to escape."
firered,"It instinctively sneaks into rocky holes. If it gets sleepy, it steals the nest of a fellow OCTILLERY."
leafgreen,"It traps enemies with its suction-cupped tentacles, then smashes them with its rock-hard head."
diamond,It lives in the gaps of boulders and in holes on the seafloor. Its suction cups grip prey tightly.
pearl,It obscures its foe’s vision by spitting a cloud of murky ink. It makes its nest among boulders.
platinum,It loves to lurk inside holes in rocks. It sometimes sprays ink on prey by sticking out only its mouth.
heartgold,"It traps foes with the suction cups on its tentacles, then smashes them with its rock-hard head."
soulsilver,"It instinctively sneaks into rocky holes. If it gets sleepy, it steals the nest of a fellow OCTILLERY."
black,It loves to lurk inside holes in rocks. It sometimes sprays ink on prey by sticking out only its mouth.
white,It loves to lurk inside holes in rocks. It sometimes sprays ink on prey by sticking out only its mouth.
black-2,It has a tendency to want to be in holes. It prefers rock crags or pots and sprays ink from them before attacking.
white-2,It has a tendency to want to be in holes. It prefers rock crags or pots and sprays ink from them before attacking.
x,It has a tendency to want to be in holes. It prefers rock crags or pots and sprays ink from them before attacking.
y,"It traps foes with the suction cups on its tentacles, then smashes them with its rock-hard head."
omega-ruby,"Octillery grabs onto its foe using its tentacles. This Pokémon tries to immobilize it before delivering the finishing blow. If the foe turns out to be too strong, Octillery spews ink to escape."
alpha-sapphire,"Octillery grabs onto its foe using its tentacles. This Pokémon tries to immobilize it before delivering the finishing blow. If the foe turns out to be too strong, Octillery spews ink to escape."
ultra-sun,"The ink it spits when escaping is special. It contains a substance that dulls the sense of smell, so Pokémon with keen noses get lost."
ultra-moon,It usually sleeps in caves. The pitch-black ink that Octillery spits is also used for cooking.
sword,It has a tendency to want to be in holes. It prefers rock crags or pots and sprays ink from them before attacking.
shield,"It traps enemies with its suction-cupped tentacles, then smashes them with its rock-hard head."
legends-arceus,"While Octillery still shoots water from its mouth, the drastic anatomical difference between it and Remoraid meant that for a long time, no one believed the former evolved from the latter."
