Game,Flavor Text
gold,"When agitated, this POKéMON pro­ tects itself by spraying poisonous sweat from its pores."
silver,"When darkness falls, the rings on the body begin to glow, striking fear in the hearts of anyone nearby."
crystal,"On the night of a full moon, or when it gets excited, the ring patterns on its body glow yellow."
ruby,UMBREON evolved as a result of exposure to the moon’s waves. It hides silently in darkness and waits for its foes to make a move. The rings on its body glow when it leaps to attack.
sapphire,UMBREON evolved as a result of exposure to the moon’s waves. It hides silently in darkness and waits for its foes to make a move. The rings on its body glow when it leaps to attack.
emerald,UMBREON evolved from exposure to the moon’s energy pulses. It lurks in darkness and waits for its foes to move. The rings on its body glow when it leaps to attack.
firered,"When darkness falls, the rings on its body begin to glow, striking fear in the hearts of anyone nearby."
leafgreen,"When agitated, this POKéMON protects itself by spraying poisonous sweat from its pores."
diamond,The light of the moon changed EEVEE’s genetic structure. It lurks in darkness for prey.
pearl,The light of the moon changed EEVEE’s genetic structure. It lurks in darkness for prey.
platinum,"When exposed to the moon’s aura, the rings on its body glow faintly and it gains a mysterious power."
heartgold,"When agitated, this Pokémon protects itself by spraying poisonous sweat from its pores."
soulsilver,"When darkness falls, the rings on the body begin to glow, striking fear in the hearts of anyone nearby."
black,"When exposed to the moon’s aura, the rings on its body glow faintly and it gains a mysterious power."
white,"When exposed to the moon’s aura, the rings on its body glow faintly and it gains a mysterious power."
black-2,"When exposed to the moon’s aura, the rings on its body glow faintly and it’s filled with a mysterious power."
white-2,"When exposed to the moon’s aura, the rings on its body glow faintly and it’s filled with a mysterious power."
x,The light of the moon changed Eevee’s genetic structure. It lurks in darkness for prey.
y,"When exposed to the moon’s aura, the rings on its body glow faintly and it’s filled with a mysterious power."
omega-ruby,Umbreon evolved as a result of exposure to the moon’s waves. It hides silently in darkness and waits for its foes to make a move. The rings on its body glow when it leaps to attack.
alpha-sapphire,Umbreon evolved as a result of exposure to the moon’s waves. It hides silently in darkness and waits for its foes to make a move. The rings on its body glow when it leaps to attack.
sun,"When this Pokémon becomes angry, its pores secrete a poisonous sweat, which it sprays at its opponent’s eyes."
moon,"With its black fur, it blends into the darkness. It bides its time, and when prey appears, this Pokémon goes for its throat, and then eats it."
ultra-sun,"This Pokémon is nocturnal. Even in total darkness, its large eyes can spot its prey clearly!"
ultra-moon,"It lurks in the dark of night looking for prey. At the moment it pounces, the rings on its body glow dimly but ominously."
sword,"When this Pokémon becomes angry, its pores secrete a poisonous sweat, which it sprays at its opponent’s eyes."
shield,"On the night of a full moon, or when it gets excited, the ring patterns on its body glow yellow."
legends-arceus,"It is most active in the wee hours of the night, when moonlight bathes the land. Its large eyes can pierce the darkness and perceive prey with absolute clarity."
