Game,Flavor Text
diamond,A Pokémon formed by three others. It busily carries sweet floral honey to VESPIQUEN.
pearl,"It collects and delivers honey to its colony. At night, they cluster to form a beehive and sleep."
platinum,The trio is together from birth. It constantly gathers honey from flowers to please VESPIQUEN.
heartgold,"At night, COMBEE sleep in a group of about a thousand, packed closely together in a lump."
soulsilver,"At night, COMBEE sleep in a group of about a thousand, packed closely together in a lump."
black,The trio is together from birth. It constantly gathers honey from flowers to please Vespiquen.
white,The trio is together from birth. It constantly gathers honey from flowers to please Vespiquen.
black-2,"This Pokémon is a set of three. When they sleep, they gather up and form a giant hive of 100 Combee."
white-2,"This Pokémon is a set of three. When they sleep, they gather up and form a giant hive of 100 Combee."
x,The trio is together from birth. It constantly gathers honey from flowers to please Vespiquen.
y,"It collects and delivers honey to its colony. At night, they cluster to form a beehive and sleep."
omega-ruby,The trio is together from birth. It constantly gathers honey from flowers to please Vespiquen.
alpha-sapphire,"It collects and delivers honey to its colony. At night, they cluster to form a beehive and sleep."
sword,The members of the trio spend all their time together. Each one has a slightly different taste in nectar.
shield,"It ceaselessly gathers nectar from sunrise to sundown, all for the sake of Vespiquen and the swarm."
legends-arceus,They swear fealty to a queen Pokémon and work diligently to gather nectar. Each swarm produces a different flavor of honey.
